type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694091579;54.006854
INITIALIZATION;12349;100;0;1672694091634;0.00884
INITIALIZATION;12347;100;0;1672694091634;0.068561
INITIALIZATION;12346;100;0;1672694091634;0.00546
INITIALIZATION;12350;100;0;1672694091634;0.120891
INITIALIZATION;12348;100;0;1672694091634;0.128582
INITIALIZATION;12352;100;0;1672694091634;0.154361
APPROXIMATION;12345;100;1;1672694091635;0.190272
APPROXIMATION;12347;100;1;1672694091635;0.099731
APPROXIMATION;12346;100;1;1672694091635;0.196682
APPROXIMATION;12349;100;1;1672694091635;0.00377
APPROXIMATION;12348;100;1;1672694091635;0.313903
APPROXIMATION;12346;100;2;1672694091635;0.262652
APPROXIMATION;12352;100;1;1672694091636;0.111321
APPROXIMATION;12347;100;2;1672694091636;0.02069
APPROXIMATION;12345;100;2;1672694091636;0.0039
APPROXIMATION;12350;100;1;1672694091636;0.017691
APPROXIMATION;12348;100;2;1672694091636;0.125111
APPROXIMATION;12349;100;2;1672694091636;0.04885
APPROXIMATION;12352;100;2;1672694091636;0.285393
HALTED;12346;100;3;1672694091637;0.119692
HALTED;12347;100;3;1672694091637;0.0059
APPROXIMATION;12350;100;2;1672694091637;0.05878
HALTED;12345;100;3;1672694091637;0.00731
HALTED;12348;100;3;1672694091637;0.04473
HALTED;12349;100;3;1672694091637;0.0209
HALTED;12352;100;3;1672694091637;0.03125
HALTED;12350;100;3;1672694091637;0.432863
INITIALIZATION;12345;101;0;1672694091638;100.458822
INITIALIZATION;12346;101;0;1672694091739;0.181032
INITIALIZATION;12349;101;0;1672694091739;0.105341
INITIALIZATION;12347;101;0;1672694091739;0.126871
INITIALIZATION;12352;101;0;1672694091739;0.212702
INITIALIZATION;12348;101;0;1672694091739;0.113221
INITIALIZATION;12350;101;0;1672694091739;0.433444
APPROXIMATION;12346;101;1;1672694091740;0.236782
APPROXIMATION;12347;101;1;1672694091740;0.018201
APPROXIMATION;12345;101;1;1672694091740;0.00391
APPROXIMATION;12348;101;1;1672694091740;0.251582
APPROXIMATION;12350;101;1;1672694091740;0.00429
APPROXIMATION;12349;101;1;1672694091740;0.101951
APPROXIMATION;12345;101;2;1672694091741;0.00785
APPROXIMATION;12347;101;2;1672694091741;0.274582
APPROXIMATION;12346;101;2;1672694091741;0.08164
APPROXIMATION;12352;101;1;1672694091741;0.051211
APPROXIMATION;12349;101;2;1672694091741;0.266402
HALTED;12345;101;3;1672694091741;0.01716
APPROXIMATION;12350;101;2;1672694091741;0.00676
APPROXIMATION;12348;101;2;1672694091741;0.00322
HALTED;12346;101;3;1672694091741;0.00602
APPROXIMATION;12352;101;2;1672694091741;0.188062
HALTED;12347;101;3;1672694091742;0.02734
HALTED;12348;101;3;1672694091742;0.067971
HALTED;12349;101;3;1672694091742;0.06267
HALTED;12350;101;3;1672694091742;0.10055
APPROXIMATION;12352;101;3;1672694091742;0.071481
HALTED;12352;101;4;1672694091742;47.294955
INITIALIZATION;12345;102;0;1672694091789;52.950965
INITIALIZATION;12346;102;0;1672694091843;0.092471
INITIALIZATION;12347;102;0;1672694091843;0.240432
INITIALIZATION;12349;102;0;1672694091843;0.00924
INITIALIZATION;12350;102;0;1672694091843;0.143471
INITIALIZATION;12348;102;0;1672694091843;0.00466
INITIALIZATION;12352;102;0;1672694091843;0.01773
APPROXIMATION;12345;102;1;1672694091843;0.160482
APPROXIMATION;12347;102;1;1672694091844;0.144081
APPROXIMATION;12346;102;1;1672694091844;0.222632
APPROXIMATION;12349;102;1;1672694091844;0.096791
APPROXIMATION;12352;102;1;1672694091844;0.069651
APPROXIMATION;12348;102;1;1672694091844;0.00442
APPROXIMATION;12350;102;1;1672694091844;0.01514
APPROXIMATION;12345;102;2;1672694091844;0.235012
APPROXIMATION;12346;102;2;1672694091844;0.049901
APPROXIMATION;12349;102;2;1672694091845;0.163191
APPROXIMATION;12347;102;2;1672694091845;0.059651
APPROXIMATION;12352;102;2;1672694091845;0.04302
APPROXIMATION;12350;102;2;1672694091845;0.05906
APPROXIMATION;12348;102;2;1672694091845;0.044521
APPROXIMATION;12345;102;3;1672694091845;0.07165
APPROXIMATION;12346;102;3;1672694091845;0.214382
APPROXIMATION;12349;102;3;1672694091845;0.107951
APPROXIMATION;12347;102;3;1672694091845;0.010431
APPROXIMATION;12350;102;3;1672694091845;0.164751
APPROXIMATION;12348;102;3;1672694091846;0.089261
HALTED;12345;102;4;1672694091846;0.00882
APPROXIMATION;12352;102;3;1672694091846;0.00344
HALTED;12346;102;4;1672694091846;0.104891
HALTED;12349;102;4;1672694091846;0.0167
HALTED;12347;102;4;1672694091846;0.061841
HALTED;12350;102;4;1672694091846;0.270082
HALTED;12348;102;4;1672694091846;0.00444
HALTED;12352;102;4;1672694091846;0.01123
INITIALIZATION;12345;103;0;1672694091846;100.363611
INITIALIZATION;12346;103;0;1672694091947;0.117271
INITIALIZATION;12349;103;0;1672694091947;0.181832
INITIALIZATION;12347;103;0;1672694091948;0.00862
INITIALIZATION;12348;103;0;1672694091948;0.261632
APPROXIMATION;12345;103;1;1672694091948;0.167172
INITIALIZATION;12352;103;0;1672694091948;0.00947
APPROXIMATION;12346;103;1;1672694091948;0.273242
APPROXIMATION;12347;103;1;1672694091948;0.05421
APPROXIMATION;12349;103;1;1672694091948;0.046351
APPROXIMATION;12352;103;1;1672694091948;0.03017
APPROXIMATION;12348;103;1;1672694091949;0.00406
APPROXIMATION;12345;103;2;1672694091949;0.240692
APPROXIMATION;12347;103;2;1672694091949;0.172442
APPROXIMATION;12349;103;2;1672694091949;0.204992
