type;receiverPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;-1;100;0;1672694725184;0.462614
APPROXIMATION;-1;100;1;1672694725187;0.922668
APPROXIMATION;-1;100;2;1672694725188;0.621996
APPROXIMATION;-1;100;3;1672694725188;0.622756
APPROXIMATION;-1;100;4;1672694725189;1.684835
APPROXIMATION;-1;100;5;1672694725192;0.961199
APPROXIMATION;-1;100;6;1672694725193;0.596805
APPROXIMATION;-1;100;7;1672694725193;0.611925
APPROXIMATION;-1;100;8;1672694725194;0.509894
APPROXIMATION;-1;100;9;1672694725195;0.504354
APPROXIMATION;-1;100;10;1672694725195;0.525924
APPROXIMATION;-1;100;11;1672694725196;0.493045
APPROXIMATION;-1;100;12;1672694725196;0.469244
APPROXIMATION;-1;100;13;1672694725197;0.506364
HALTED;-1;100;14;1672694725198;0.495144
INITIALIZATION;-1;101;0;1672694725300;0.621515
APPROXIMATION;-1;101;1;1672694725301;0.483484
APPROXIMATION;-1;101;2;1672694725302;0.437653
APPROXIMATION;-1;101;3;1672694725349;0.478524
APPROXIMATION;-1;101;4;1672694725350;0.434914
APPROXIMATION;-1;101;5;1672694725350;0.538945
APPROXIMATION;-1;101;6;1672694725351;0.457344
APPROXIMATION;-1;101;7;1672694725352;0.363863
APPROXIMATION;-1;101;8;1672694725400;0.425733
APPROXIMATION;-1;101;9;1672694725400;0.657035
APPROXIMATION;-1;101;10;1672694725401;0.852737
APPROXIMATION;-1;101;11;1672694725402;0.552475
APPROXIMATION;-1;101;12;1672694725403;0.465994
APPROXIMATION;-1;101;13;1672694725403;0.478964
HALTED;-1;101;14;1672694725404;0.470154
INITIALIZATION;-1;102;0;1672694725505;0.427754
APPROXIMATION;-1;102;1;1672694725506;0.891858
APPROXIMATION;-1;102;2;1672694725507;0.578155
APPROXIMATION;-1;102;3;1672694725508;0.404993
APPROXIMATION;-1;102;4;1672694725550;0.604005
APPROXIMATION;-1;102;5;1672694725551;0.601936
APPROXIMATION;-1;102;6;1672694725552;0.532685
APPROXIMATION;-1;102;7;1672694725552;0.463644
APPROXIMATION;-1;102;8;1672694725553;0.463444
APPROXIMATION;-1;102;9;1672694725553;0.461094
APPROXIMATION;-1;102;10;1672694725554;0.425684
APPROXIMATION;-1;102;11;1672694725554;0.439323
APPROXIMATION;-1;102;12;1672694725555;0.521965
APPROXIMATION;-1;102;13;1672694725556;0.460224
HALTED;-1;102;14;1672694725556;0.397174
INITIALIZATION;-1;103;0;1672694725657;0.454904
APPROXIMATION;-1;103;1;1672694725658;0.551375
APPROXIMATION;-1;103;2;1672694725659;0.577215
APPROXIMATION;-1;103;3;1672694725660;0.449284
APPROXIMATION;-1;103;4;1672694725660;0.444324
APPROXIMATION;-1;103;5;1672694725661;0.453004
APPROXIMATION;-1;103;6;1672694725661;0.417194
APPROXIMATION;-1;103;7;1672694725662;0.478024
APPROXIMATION;-1;103;8;1672694725662;0.463934
APPROXIMATION;-1;103;9;1672694725663;0.447513
APPROXIMATION;-1;103;10;1672694725663;0.451464
APPROXIMATION;-1;103;11;1672694725664;0.445584
APPROXIMATION;-1;103;12;1672694725664;0.429554
APPROXIMATION;-1;103;13;1672694725665;0.428654
HALTED;-1;103;14;1672694725665;0.445744
INITIALIZATION;-1;104;0;1672694725766;0.478034
APPROXIMATION;-1;104;1;1672694725768;0.564075
APPROXIMATION;-1;104;2;1672694725768;0.543245
APPROXIMATION;-1;104;3;1672694725769;0.398773
APPROXIMATION;-1;104;4;1672694725810;0.422674
APPROXIMATION;-1;104;5;1672694725810;0.443174
APPROXIMATION;-1;104;6;1672694725811;0.546695
APPROXIMATION;-1;104;7;1672694725812;0.461564
APPROXIMATION;-1;104;8;1672694725812;0.496095
APPROXIMATION;-1;104;9;1672694725813;0.495265
APPROXIMATION;-1;104;10;1672694725813;0.465044
APPROXIMATION;-1;104;11;1672694725814;0.496725
APPROXIMATION;-1;104;12;1672694725814;0.491895
APPROXIMATION;-1;104;13;1672694725815;0.466084
HALTED;-1;104;14;1672694725816;0.583145
INITIALIZATION;-1;105;0;1672694725917;0.440224
APPROXIMATION;-1;105;1;1672694725918;0.489804
APPROXIMATION;-1;105;2;1672694725919;0.533635
APPROXIMATION;-1;105;3;1672694725920;0.538825
APPROXIMATION;-1;105;4;1672694725921;0.476964
APPROXIMATION;-1;105;5;1672694725921;0.445394
APPROXIMATION;-1;105;6;1672694725922;0.443983
APPROXIMATION;-1;105;7;1672694725922;0.416444
APPROXIMATION;-1;105;8;1672694725923;0.422304
APPROXIMATION;-1;105;9;1672694725923;0.408414
APPROXIMATION;-1;105;10;1672694725924;0.416384
APPROXIMATION;-1;105;11;1672694725924;0.395703
APPROXIMATION;-1;105;12;1672694725925;0.405143
APPROXIMATION;-1;105;13;1672694725926;0.416474
HALTED;-1;105;14;1672694725926;0.475214
INITIALIZATION;-1;106;0;1672694726027;0.513214
APPROXIMATION;-1;106;1;1672694726029;0.645136
APPROXIMATION;-1;106;2;1672694726030;0.504934
APPROXIMATION;-1;106;3;1672694726069;0.405193
APPROXIMATION;-1;106;4;1672694726080;0.567705
APPROXIMATION;-1;106;5;1672694726081;0.517465
APPROXIMATION;-1;106;6;1672694726081;0.395693
APPROXIMATION;-1;106;7;1672694726082;0.425554
APPROXIMATION;-1;106;8;1672694726082;0.439154
APPROXIMATION;-1;106;9;1672694726083;0.450804
APPROXIMATION;-1;106;10;1672694726083;0.460144
APPROXIMATION;-1;106;11;1672694726084;0.425064
APPROXIMATION;-1;106;12;1672694726084;0.451114
APPROXIMATION;-1;106;13;1672694726085;0.402954
HALTED;-1;106;14;1672694726085;0.483264
INITIALIZATION;-1;107;0;1672694726186;0.453654
APPROXIMATION;-1;107;1;1672694726218;0.450604
APPROXIMATION;-1;107;2;1672694726218;0.411663
APPROXIMATION;-1;107;3;1672694726219;0.533755
APPROXIMATION;-1;107;4;1672694726220;0.398083
APPROXIMATION;-1;107;5;1672694726220;0.433194
APPROXIMATION;-1;107;6;1672694726221;0.417634
APPROXIMATION;-1;107;7;1672694726221;0.447104
APPROXIMATION;-1;107;8;1672694726222;0.548095
APPROXIMATION;-1;107;9;1672694726223;0.488344
APPROXIMATION;-1;107;10;1672694726223;0.418893
APPROXIMATION;-1;107;11;1672694726224;0.495234
APPROXIMATION;-1;107;12;1672694726224;0.447554
APPROXIMATION;-1;107;13;1672694726225;0.433704
HALTED;-1;107;14;1672694726225;0.433254
INITIALIZATION;-1;108;0;1672694726326;0.439424
APPROXIMATION;-1;108;1;1672694726327;0.460674
APPROXIMATION;-1;108;2;1672694726328;0.495824
APPROXIMATION;-1;108;3;1672694726329;0.534425
APPROXIMATION;-1;108;4;1672694726329;0.496214
APPROXIMATION;-1;108;5;1672694726330;0.482494
APPROXIMATION;-1;108;6;1672694726330;0.472724
APPROXIMATION;-1;108;7;1672694726331;0.480394
APPROXIMATION;-1;108;8;1672694726332;0.472485
APPROXIMATION;-1;108;9;1672694726332;0.481944
APPROXIMATION;-1;108;10;1672694726333;0.430464
APPROXIMATION;-1;108;11;1672694726333;0.443034
APPROXIMATION;-1;108;12;1672694726334;0.437654
APPROXIMATION;-1;108;13;1672694726334;0.448444
HALTED;-1;108;14;1672694726335;0.427854
INITIALIZATION;-1;109;0;1672694726436;0.449354
APPROXIMATION;-1;109;1;1672694726437;0.487864
APPROXIMATION;-1;109;2;1672694726438;0.417664
APPROXIMATION;-1;109;3;1672694726438;0.453423
APPROXIMATION;-1;109;4;1672694726439;0.613026
APPROXIMATION;-1;109;5;1672694726440;0.443324
APPROXIMATION;-1;109;6;1672694726440;0.400454
APPROXIMATION;-1;109;7;1672694726441;0.401274
APPROXIMATION;-1;109;8;1672694726441;0.442374
APPROXIMATION;-1;109;9;1672694726442;0.441694
APPROXIMATION;-1;109;10;1672694726442;0.409044
APPROXIMATION;-1;109;11;1672694726443;0.418604
APPROXIMATION;-1;109;12;1672694726443;0.458044
APPROXIMATION;-1;109;13;1672694726443;0.440494
HALTED;-1;109;14;1672694726444;0.427213
INITIALIZATION;-1;110;0;1672694726545;0.414104
APPROXIMATION;-1;110;1;1672694726547;0.431204
APPROXIMATION;-1;110;2;1672694726548;0.490204
APPROXIMATION;-1;110;3;1672694726549;0.602085
APPROXIMATION;-1;110;4;1672694726550;0.545295
APPROXIMATION;-1;110;5;1672694726550;0.505494
APPROXIMATION;-1;110;6;1672694726551;0.503664
APPROXIMATION;-1;110;7;1672694726552;0.467104
APPROXIMATION;-1;110;8;1672694726552;0.464384
APPROXIMATION;-1;110;9;1672694726553;0.450534
APPROXIMATION;-1;110;10;1672694726553;0.468364
APPROXIMATION;-1;110;11;1672694726554;0.506825
APPROXIMATION;-1;110;12;1672694726554;0.498375
APPROXIMATION;-1;110;13;1672694726555;0.446564
HALTED;-1;110;14;1672694726555;0.457084
INITIALIZATION;-1;111;0;1672694726656;0.455154
APPROXIMATION;-1;111;1;1672694726658;0.517965
APPROXIMATION;-1;111;2;1672694726659;0.430884
APPROXIMATION;-1;111;3;1672694726659;0.442544
APPROXIMATION;-1;111;4;1672694726700;0.486184
APPROXIMATION;-1;111;5;1672694726700;0.650435
APPROXIMATION;-1;111;6;1672694726701;0.528925
APPROXIMATION;-1;111;7;1672694726701;0.491865
APPROXIMATION;-1;111;8;1672694726702;0.495624
APPROXIMATION;-1;111;9;1672694726702;0.456294
APPROXIMATION;-1;111;10;1672694726703;0.440514
APPROXIMATION;-1;111;11;1672694726703;0.419783
APPROXIMATION;-1;111;12;1672694726704;0.399103
APPROXIMATION;-1;111;13;1672694726704;0.427654
HALTED;-1;111;14;1672694726705;0.400623
INITIALIZATION;-1;112;0;1672694726806;0.454744
APPROXIMATION;-1;112;1;1672694726807;0.463934
APPROXIMATION;-1;112;2;1672694726808;0.542235
APPROXIMATION;-1;112;3;1672694726850;0.507524
APPROXIMATION;-1;112;4;1672694726850;0.454414
APPROXIMATION;-1;112;5;1672694726851;0.560655
APPROXIMATION;-1;112;6;1672694726851;0.405853
APPROXIMATION;-1;112;7;1672694726852;0.497774
APPROXIMATION;-1;112;8;1672694726852;0.442504
APPROXIMATION;-1;112;9;1672694726853;0.408624
APPROXIMATION;-1;112;10;1672694726853;0.395844
APPROXIMATION;-1;112;11;1672694726853;0.353803
APPROXIMATION;-1;112;12;1672694726854;0.351143
APPROXIMATION;-1;112;13;1672694726854;0.489984
HALTED;-1;112;14;1672694726855;0.309923
INITIALIZATION;-1;113;0;1672694726956;0.446064
APPROXIMATION;-1;113;1;1672694726957;0.523755
APPROXIMATION;-1;113;2;1672694726958;0.495124
APPROXIMATION;-1;113;3;1672694726959;0.521624
APPROXIMATION;-1;113;4;1672694727000;0.783237
APPROXIMATION;-1;113;5;1672694727001;0.470194
APPROXIMATION;-1;113;6;1672694727001;0.435993
APPROXIMATION;-1;113;7;1672694727002;0.393053
APPROXIMATION;-1;113;8;1672694727002;0.407554
APPROXIMATION;-1;113;9;1672694727003;0.376404
APPROXIMATION;-1;113;10;1672694727003;0.346123
APPROXIMATION;-1;113;11;1672694727004;0.385323
APPROXIMATION;-1;113;12;1672694727004;0.360584
APPROXIMATION;-1;113;13;1672694727004;0.373634
HALTED;-1;113;14;1672694727005;0.349293
