type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694725084;101.476791
INITIALIZATION;12346;100;0;1672694725186;0.069011
INITIALIZATION;12351;100;0;1672694725186;0.00493
INITIALIZATION;12348;100;0;1672694725186;0.00132
INITIALIZATION;12349;100;0;1672694725186;0.135651
INITIALIZATION;12352;100;0;1672694725186;0.111561
INITIALIZATION;12350;100;0;1672694725187;0.00424
APPROXIMATION;12345;100;1;1672694725187;0.251432
APPROXIMATION;12346;100;1;1672694725187;0.04719
APPROXIMATION;12348;100;1;1672694725187;0.01821
APPROXIMATION;12349;100;1;1672694725187;0.100971
APPROXIMATION;12352;100;1;1672694725187;0.049421
APPROXIMATION;12351;100;1;1672694725187;0.250832
APPROXIMATION;12350;100;1;1672694725187;0.00175
APPROXIMATION;12346;100;2;1672694725187;0.255052
APPROXIMATION;12348;100;2;1672694725188;0.06862
APPROXIMATION;12345;100;2;1672694725188;0.183932
APPROXIMATION;12349;100;2;1672694725188;0.00563
APPROXIMATION;12352;100;2;1672694725188;0.116071
APPROXIMATION;12351;100;2;1672694725188;0.01879
APPROXIMATION;12350;100;2;1672694725188;0.053251
APPROXIMATION;12346;100;3;1672694725188;0.127691
APPROXIMATION;12348;100;3;1672694725188;0.192482
APPROXIMATION;12349;100;3;1672694725188;0.087011
APPROXIMATION;12345;100;3;1672694725189;0.00457
APPROXIMATION;12351;100;3;1672694725189;0.02702
APPROXIMATION;12350;100;3;1672694725189;0.062071
APPROXIMATION;12352;100;3;1672694725189;0.00547
APPROXIMATION;12346;100;4;1672694725189;0.134971
APPROXIMATION;12348;100;4;1672694725189;0.215262
APPROXIMATION;12349;100;4;1672694725189;0.116951
APPROXIMATION;12345;100;4;1672694725189;0.079381
APPROXIMATION;12352;100;4;1672694725189;0.107231
APPROXIMATION;12350;100;4;1672694725189;0.02972
APPROXIMATION;12346;100;5;1672694725189;0.001691
APPROXIMATION;12351;100;4;1672694725189;0.00118
APPROXIMATION;12348;100;5;1672694725189;1.044049
APPROXIMATION;12350;100;5;1672694725191;0.212932
APPROXIMATION;12349;100;5;1672694725191;0.060121
APPROXIMATION;12352;100;5;1672694725191;0.02859
APPROXIMATION;12351;100;5;1672694725191;0.129621
APPROXIMATION;12345;100;5;1672694725191;0.952038
APPROXIMATION;12346;100;6;1672694725192;0.120221
APPROXIMATION;12348;100;6;1672694725192;0.219342
APPROXIMATION;12349;100;6;1672694725192;0.123691
APPROXIMATION;12350;100;6;1672694725193;0.005581
APPROXIMATION;12351;100;6;1672694725193;0.00209
APPROXIMATION;12352;100;6;1672694725193;0.087191
APPROXIMATION;12345;100;6;1672694725193;0.09118
APPROXIMATION;12346;100;7;1672694725193;0.08995
APPROXIMATION;12348;100;7;1672694725193;0.239142
APPROXIMATION;12349;100;7;1672694725193;0.095761
APPROXIMATION;12352;100;7;1672694725193;0.102431
APPROXIMATION;12351;100;7;1672694725193;0.00378
APPROXIMATION;12345;100;7;1672694725193;0.077891
APPROXIMATION;12350;100;7;1672694725194;0.06283
APPROXIMATION;12346;100;8;1672694725194;0.052951
APPROXIMATION;12348;100;8;1672694725194;0.201112
APPROXIMATION;12349;100;8;1672694725194;0.06577
APPROXIMATION;12351;100;8;1672694725194;0.122491
APPROXIMATION;12352;100;8;1672694725194;0.07884
APPROXIMATION;12345;100;8;1672694725194;0.01656
APPROXIMATION;12350;100;8;1672694725194;0.00132
APPROXIMATION;12346;100;9;1672694725194;0.09098
APPROXIMATION;12348;100;9;1672694725194;0.211822
APPROXIMATION;12349;100;9;1672694725195;0.040611
APPROXIMATION;12350;100;9;1672694725195;0.05312
APPROXIMATION;12351;100;9;1672694725195;0.01646
APPROXIMATION;12352;100;9;1672694725195;0.069821
APPROXIMATION;12345;100;9;1672694725195;0.01153
APPROXIMATION;12346;100;10;1672694725195;0.143872
APPROXIMATION;12348;100;10;1672694725195;0.214022
APPROXIMATION;12349;100;10;1672694725195;0.00858
APPROXIMATION;12351;100;10;1672694725195;0.06424
APPROXIMATION;12346;100;11;1672694725195;0.00331
APPROXIMATION;12345;100;10;1672694725195;0.00104
APPROXIMATION;12352;100;10;1672694725195;0.00139
APPROXIMATION;12350;100;10;1672694725195;0.00102
APPROXIMATION;12348;100;11;1672694725195;0.185782
APPROXIMATION;12351;100;11;1672694725196;0.206922
APPROXIMATION;12352;100;11;1672694725196;0.00226
APPROXIMATION;12350;100;11;1672694725196;0.00105
APPROXIMATION;12345;100;11;1672694725196;0.03637
APPROXIMATION;12349;100;11;1672694725196;0.248832
APPROXIMATION;12346;100;12;1672694725196;0.0779
APPROXIMATION;12345;100;12;1672694725196;0.193271
APPROXIMATION;12348;100;12;1672694725196;0.00144
APPROXIMATION;12351;100;12;1672694725196;0.018701
APPROXIMATION;12350;100;12;1672694725196;0.01756
APPROXIMATION;12352;100;12;1672694725197;0.03642
APPROXIMATION;12349;100;12;1672694725197;0.072161
APPROXIMATION;12346;100;13;1672694725197;0.098921
APPROXIMATION;12348;100;13;1672694725197;0.155581
APPROXIMATION;12350;100;13;1672694725197;0.065111
APPROXIMATION;12345;100;13;1672694725197;0.00156
APPROXIMATION;12351;100;13;1672694725197;0.066611
APPROXIMATION;12352;100;13;1672694725197;0.00214
APPROXIMATION;12349;100;13;1672694725197;0.04872
HALTED;12346;100;14;1672694725197;0.092721
HALTED;12348;100;14;1672694725197;0.191872
HALTED;12350;100;14;1672694725197;0.037001
HALTED;12351;100;14;1672694725198;0.02015
HALTED;12352;100;14;1672694725198;0.00148
HALTED;12349;100;14;1672694725198;0.080381
HALTED;12345;100;14;1672694725198;0.07774
INITIALIZATION;12345;101;0;1672694725198;101.946665
INITIALIZATION;12346;101;0;1672694725300;0.146051
INITIALIZATION;12348;101;0;1672694725300;0.321343
INITIALIZATION;12349;101;0;1672694725301;0.00193
INITIALIZATION;12351;101;0;1672694725301;0.139141
INITIALIZATION;12350;101;0;1672694725301;0.178982
INITIALIZATION;12352;101;0;1672694725301;0.086971
APPROXIMATION;12345;101;1;1672694725301;0.152651
APPROXIMATION;12346;101;1;1672694725301;0.021981
APPROXIMATION;12348;101;1;1672694725301;0.166971
APPROXIMATION;12352;101;1;1672694725302;0.052351
APPROXIMATION;12351;101;1;1672694725302;0.108771
APPROXIMATION;12349;101;1;1672694725302;0.00164
APPROXIMATION;12350;101;1;1672694725302;0.0154
APPROXIMATION;12345;101;2;1672694725302;0.115511
APPROXIMATION;12346;101;2;1672694725302;0.067161
APPROXIMATION;12348;101;2;1672694725302;0.177811
APPROXIMATION;12351;101;2;1672694725302;0.01255
APPROXIMATION;12352;101;2;1672694725302;0.180111
APPROXIMATION;12349;101;2;1672694725302;0.00316
APPROXIMATION;12350;101;2;1672694725302;0.00106
APPROXIMATION;12346;101;3;1672694725302;0.141242
APPROXIMATION;12348;101;3;1672694725303;0.115191
APPROXIMATION;12351;101;3;1672694725303;0.109421
APPROXIMATION;12349;101;3;1672694725303;0.00153
APPROXIMATION;12352;101;3;1672694725303;0.01317
APPROXIMATION;12350;101;3;1672694725303;46.772101
APPROXIMATION;12345;101;3;1672694725350;0.01754
APPROXIMATION;12346;101;4;1672694725350;0.131231
APPROXIMATION;12348;101;4;1672694725350;0.198112
APPROXIMATION;12349;101;4;1672694725350;0.171052
APPROXIMATION;12350;101;4;1672694725350;0.00518
APPROXIMATION;12351;101;4;1672694725350;0.00105
APPROXIMATION;12345;101;4;1672694725350;9.2E-4
APPROXIMATION;12352;101;4;1672694725350;0.02848
APPROXIMATION;12346;101;5;1672694725350;0.132331
APPROXIMATION;12348;101;5;1672694725350;0.148092
APPROXIMATION;12345;101;5;1672694725351;0.142441
APPROXIMATION;12352;101;5;1672694725351;0.334363
APPROXIMATION;12350;101;5;1672694725351;0.02703
APPROXIMATION;12349;101;5;1672694725351;0.00184
APPROXIMATION;12351;101;5;1672694725351;9.4E-4
APPROXIMATION;12346;101;6;1672694725351;0.0159
APPROXIMATION;12345;101;6;1672694725351;0.110881
APPROXIMATION;12352;101;6;1672694725351;0.036
APPROXIMATION;12348;101;6;1672694725351;0.068431
APPROXIMATION;12349;101;6;1672694725351;0.03976
APPROXIMATION;12350;101;6;1672694725351;0.05923
APPROXIMATION;12346;101;7;1672694725351;0.129711
APPROXIMATION;12348;101;7;1672694725352;0.133281
APPROXIMATION;12352;101;7;1672694725352;0.00145
APPROXIMATION;12350;101;7;1672694725352;47.556317
APPROXIMATION;12351;101;6;1672694725399;0.109901
APPROXIMATION;12345;101;7;1672694725399;0.02457
APPROXIMATION;12349;101;7;1672694725399;0.00195
APPROXIMATION;12345;101;8;1672694725399;0.255552
APPROXIMATION;12351;101;7;1672694725400;0.04874
APPROXIMATION;12346;101;8;1672694725400;0.00435
APPROXIMATION;12348;101;8;1672694725400;0.08426
APPROXIMATION;12349;101;8;1672694725400;0.018921
APPROXIMATION;12350;101;8;1672694725400;0.07197
APPROXIMATION;12352;101;8;1672694725400;0.651296
APPROXIMATION;12346;101;9;1672694725401;0.152781
APPROXIMATION;12348;101;9;1672694725401;0.0015
APPROXIMATION;12350;101;9;1672694725401;0.00844
APPROXIMATION;12351;101;8;1672694725401;0.00117
APPROXIMATION;12345;101;9;1672694725401;0.00108
APPROXIMATION;12352;101;9;1672694725401;0.01717
APPROXIMATION;12349;101;9;1672694725401;0.04404
APPROXIMATION;12345;101;10;1672694725401;0.291873
APPROXIMATION;12346;101;10;1672694725401;0.01472
APPROXIMATION;12351;101;9;1672694725401;0.02611
APPROXIMATION;12348;101;10;1672694725401;0.04061
APPROXIMATION;12349;101;10;1672694725401;0.101121
APPROXIMATION;12350;101;10;1672694725401;0.01236
APPROXIMATION;12352;101;10;1672694725401;0.00142
APPROXIMATION;12346;101;11;1672694725401;0.274013
APPROXIMATION;12351;101;10;1672694725402;0.03308
APPROXIMATION;12349;101;11;1672694725402;0.192212
APPROXIMATION;12350;101;11;1672694725402;0.04124
APPROXIMATION;12348;101;11;1672694725402;0.01101
APPROXIMATION;12345;101;11;1672694725402;0.160432
APPROXIMATION;12352;101;11;1672694725402;0.01645
APPROXIMATION;12351;101;11;1672694725402;0.04683
APPROXIMATION;12346;101;12;1672694725402;0.046251
APPROXIMATION;12348;101;12;1672694725402;0.222562
APPROXIMATION;12349;101;12;1672694725403;0.00417
APPROXIMATION;12350;101;12;1672694725403;0.073781
APPROXIMATION;12351;101;12;1672694725403;0.00193
APPROXIMATION;12352;101;12;1672694725403;0.076711
APPROXIMATION;12345;101;12;1672694725403;0.00298
APPROXIMATION;12346;101;13;1672694725403;0.216082
APPROXIMATION;12348;101;13;1672694725403;0.0869
APPROXIMATION;12349;101;13;1672694725403;0.05137
APPROXIMATION;12350;101;13;1672694725403;0.057221
APPROXIMATION;12351;101;13;1672694725403;0.02029
APPROXIMATION;12352;101;13;1672694725403;0.01534
APPROXIMATION;12345;101;13;1672694725403;0.04341
HALTED;12346;101;14;1672694725403;0.08511
HALTED;12348;101;14;1672694725403;0.199672
HALTED;12349;101;14;1672694725404;0.061741
HALTED;12350;101;14;1672694725404;0.07554
HALTED;12351;101;14;1672694725404;0.014051
HALTED;12352;101;14;1672694725404;0.06299
HALTED;12345;101;14;1672694725404;0.00367
INITIALIZATION;12345;102;0;1672694725404;100.909096
INITIALIZATION;12346;102;0;1672694725505;0.187992
INITIALIZATION;12348;102;0;1672694725505;0.204821
INITIALIZATION;12349;102;0;1672694725506;0.358063
INITIALIZATION;12352;102;0;1672694725506;0.03832
INITIALIZATION;12351;102;0;1672694725506;0.00174
INITIALIZATION;12350;102;0;1672694725506;9.4E-4
APPROXIMATION;12345;102;1;1672694725506;0.171992
APPROXIMATION;12346;102;1;1672694725506;0.518985
APPROXIMATION;12351;102;1;1672694725507;0.00147
APPROXIMATION;12348;102;1;1672694725507;0.08509
APPROXIMATION;12349;102;1;1672694725507;0.00153
APPROXIMATION;12350;102;1;1672694725507;0.044121
APPROXIMATION;12352;102;1;1672694725507;0.150641
APPROXIMATION;12351;102;2;1672694725507;0.102171
APPROXIMATION;12345;102;2;1672694725507;0.01038
APPROXIMATION;12346;102;2;1672694725507;0.442244
APPROXIMATION;12348;102;2;1672694725508;0.044751
APPROXIMATION;12349;102;2;1672694725508;0.04917
APPROXIMATION;12350;102;2;1672694725508;0.061101
APPROXIMATION;12352;102;2;1672694725508;0.075931
APPROXIMATION;12345;102;3;1672694725508;0.093711
APPROXIMATION;12351;102;3;1672694725508;0.05663
APPROXIMATION;12349;102;3;1672694725508;0.072001
APPROXIMATION;12350;102;3;1672694725508;0.04467
APPROXIMATION;12348;102;3;1672694725508;41.403554
APPROXIMATION;12352;102;3;1672694725550;0.00314
APPROXIMATION;12346;102;3;1672694725550;0.00161
APPROXIMATION;12345;102;4;1672694725550;0.186632
APPROXIMATION;12349;102;4;1672694725550;0.216012
APPROXIMATION;12348;102;4;1672694725550;0.624585
APPROXIMATION;12352;102;4;1672694725551;0.053481
APPROXIMATION;12350;102;4;1672694725551;0.00116
APPROXIMATION;12351;102;4;1672694725551;9.5E-4
APPROXIMATION;12346;102;4;1672694725551;0.001
APPROXIMATION;12346;102;5;1672694725551;0.143081
APPROXIMATION;12345;102;5;1672694725551;0.023891
APPROXIMATION;12348;102;5;1672694725551;0.01717
APPROXIMATION;12350;102;5;1672694725551;0.302513
APPROXIMATION;12351;102;5;1672694725551;0.06117
APPROXIMATION;12349;102;5;1672694725551;0.00205
APPROXIMATION;12352;102;5;1672694725551;0.00276
APPROXIMATION;12346;102;6;1672694725551;0.167342
APPROXIMATION;12348;102;6;1672694725552;0.110601
APPROXIMATION;12345;102;6;1672694725552;0.051591
APPROXIMATION;12350;102;6;1672694725552;0.132961
APPROXIMATION;12351;102;6;1672694725552;0.00967
APPROXIMATION;12352;102;6;1672694725552;0.00108
APPROXIMATION;12349;102;6;1672694725552;0.01802
APPROXIMATION;12346;102;7;1672694725552;0.175952
APPROXIMATION;12348;102;7;1672694725552;0.137431
APPROXIMATION;12350;102;7;1672694725552;0.171792
APPROXIMATION;12351;102;7;1672694725552;0.00217
APPROXIMATION;12349;102;7;1672694725552;0.00226
APPROXIMATION;12345;102;7;1672694725552;9.5E-4
APPROXIMATION;12352;102;7;1672694725552;9.0E-4
APPROXIMATION;12346;102;8;1672694725553;0.146421
APPROXIMATION;12348;102;8;1672694725553;0.176811
APPROXIMATION;12352;102;8;1672694725553;0.086661
APPROXIMATION;12350;102;8;1672694725553;0.01777
APPROXIMATION;12349;102;8;1672694725553;0.02215
APPROXIMATION;12345;102;8;1672694725553;0.00142
APPROXIMATION;12351;102;8;1672694725553;0.02005
APPROXIMATION;12346;102;9;1672694725553;0.130411
APPROXIMATION;12348;102;9;1672694725553;0.151361
APPROXIMATION;12349;102;9;1672694725553;0.098881
APPROXIMATION;12350;102;9;1672694725553;0.071091
APPROXIMATION;12352;102;9;1672694725554;0.00183
APPROXIMATION;12345;102;9;1672694725554;0.02823
APPROXIMATION;12351;102;9;1672694725554;0.082851
APPROXIMATION;12346;102;10;1672694725554;0.124731
APPROXIMATION;12348;102;10;1672694725554;0.127472
APPROXIMATION;12349;102;10;1672694725554;0.06904
APPROXIMATION;12352;102;10;1672694725554;0.040791
APPROXIMATION;12350;102;10;1672694725554;0.00147
APPROXIMATION;12345;102;10;1672694725554;0.05185
APPROXIMATION;12351;102;10;1672694725554;0.01457
APPROXIMATION;12346;102;11;1672694725554;0.147372
APPROXIMATION;12348;102;11;1672694725554;0.144701
APPROXIMATION;12349;102;11;1672694725554;0.088231
APPROXIMATION;12350;102;11;1672694725555;0.100551
APPROXIMATION;12345;102;11;1672694725555;0.0158
APPROXIMATION;12352;102;11;1672694725555;0.0011
APPROXIMATION;12351;102;11;1672694725555;0.02847
APPROXIMATION;12346;102;12;1672694725555;0.169422
APPROXIMATION;12348;102;12;1672694725555;0.102051
APPROXIMATION;12349;102;12;1672694725555;0.079341
APPROXIMATION;12352;102;12;1672694725555;0.08499
APPROXIMATION;12345;102;12;1672694725555;0.012571
APPROXIMATION;12350;102;12;1672694725555;0.00108
APPROXIMATION;12351;102;12;1672694725555;0.03281
APPROXIMATION;12346;102;13;1672694725555;0.129131
APPROXIMATION;12348;102;13;1672694725555;0.140321
APPROXIMATION;12349;102;13;1672694725555;0.116031
APPROXIMATION;12350;102;13;1672694725556;0.06479
APPROXIMATION;12352;102;13;1672694725556;0.050781
APPROXIMATION;12345;102;13;1672694725556;0.00149
APPROXIMATION;12351;102;13;1672694725556;8.8E-4
HALTED;12346;102;14;1672694725556;0.128641
HALTED;12348;102;14;1672694725556;0.128111
HALTED;12349;102;14;1672694725556;0.094741
HALTED;12350;102;14;1672694725556;0.083031
HALTED;12352;102;14;1672694725556;0.0271
HALTED;12351;102;14;1672694725556;0.02477
HALTED;12345;102;14;1672694725556;0.00141
INITIALIZATION;12345;103;0;1672694725556;100.964757
INITIALIZATION;12346;103;0;1672694725658;0.382823
INITIALIZATION;12348;103;0;1672694725658;0.159891
INITIALIZATION;12349;103;0;1672694725658;0.01457
INITIALIZATION;12351;103;0;1672694725658;0.02716
INITIALIZATION;12350;103;0;1672694725658;0.008241
INITIALIZATION;12352;103;0;1672694725658;0.04242
APPROXIMATION;12345;103;1;1672694725658;0.239922
APPROXIMATION;12346;103;1;1672694725659;0.073691
