type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694725186;0.504665
INITIALIZATION;12348;100;0;1672694725186;0.00865
INITIALIZATION;12351;100;0;1672694725186;0.00592
INITIALIZATION;12346;100;0;1672694725186;0.00354
INITIALIZATION;12349;100;0;1672694725187;0.00458
INITIALIZATION;12347;100;0;1672694725187;0.0055
INITIALIZATION;12352;100;0;1672694725187;0.0023
APPROXIMATION;12346;100;1;1672694725187;0.0071
APPROXIMATION;12348;100;1;1672694725187;0.0052
APPROXIMATION;12349;100;1;1672694725187;0.00176
APPROXIMATION;12352;100;1;1672694725187;0.00126
APPROXIMATION;12345;100;1;1672694725187;0.0012
APPROXIMATION;12347;100;1;1672694725188;0.00428
APPROXIMATION;12351;100;1;1672694725188;0.00191
APPROXIMATION;12346;100;2;1672694725188;0.00571
APPROXIMATION;12348;100;2;1672694725188;0.00247
APPROXIMATION;12349;100;2;1672694725188;0.00532
APPROXIMATION;12345;100;2;1672694725188;0.00405
APPROXIMATION;12347;100;2;1672694725188;0.00349
APPROXIMATION;12352;100;2;1672694725188;0.0037
APPROXIMATION;12351;100;2;1672694725188;0.00161
APPROXIMATION;12346;100;3;1672694725188;0.00543
APPROXIMATION;12348;100;3;1672694725189;0.00401
APPROXIMATION;12347;100;3;1672694725189;0.0038
APPROXIMATION;12349;100;3;1672694725189;0.00459
APPROXIMATION;12351;100;3;1672694725189;0.00131
APPROXIMATION;12345;100;3;1672694725189;0.00316
APPROXIMATION;12352;100;3;1672694725189;0.0039
APPROXIMATION;12346;100;4;1672694725189;0.00447
APPROXIMATION;12348;100;4;1672694725189;0.00349
APPROXIMATION;12347;100;4;1672694725189;0.00417
APPROXIMATION;12349;100;4;1672694725189;0.00339
APPROXIMATION;12352;100;4;1672694725189;0.00417
APPROXIMATION;12351;100;4;1672694725190;0.00451
APPROXIMATION;12346;100;5;1672694725190;0.00243
APPROXIMATION;12345;100;4;1672694725190;0.01292
APPROXIMATION;12348;100;5;1672694725191;0.00492
APPROXIMATION;12347;100;5;1672694725191;0.0042
APPROXIMATION;12349;100;5;1672694725191;0.00445
APPROXIMATION;12352;100;5;1672694725191;0.0046
APPROXIMATION;12351;100;5;1672694725191;0.00427
APPROXIMATION;12346;100;6;1672694725192;0.00679
APPROXIMATION;12345;100;5;1672694725192;0.00933
APPROXIMATION;12348;100;6;1672694725193;0.190451
APPROXIMATION;12352;100;6;1672694725193;0.00163
APPROXIMATION;12351;100;6;1672694725193;0.00561
APPROXIMATION;12345;100;6;1672694725193;0.00122
APPROXIMATION;12346;100;7;1672694725193;0.00258
APPROXIMATION;12347;100;6;1672694725193;8.2E-4
APPROXIMATION;12349;100;6;1672694725193;0.00891
APPROXIMATION;12348;100;7;1672694725193;0.00384
APPROXIMATION;12349;100;7;1672694725193;0.00312
APPROXIMATION;12347;100;7;1672694725194;0.00428
APPROXIMATION;12352;100;7;1672694725194;0.00153
APPROXIMATION;12351;100;7;1672694725194;0.00314
APPROXIMATION;12345;100;7;1672694725194;0.01108
APPROXIMATION;12346;100;8;1672694725194;0.00202
APPROXIMATION;12348;100;8;1672694725194;0.0042
APPROXIMATION;12349;100;8;1672694725194;0.00376
APPROXIMATION;12347;100;8;1672694725194;0.00365
APPROXIMATION;12351;100;8;1672694725194;0.00337
APPROXIMATION;12352;100;8;1672694725194;0.00293
APPROXIMATION;12345;100;8;1672694725194;0.01114
APPROXIMATION;12346;100;9;1672694725194;0.00449
APPROXIMATION;12348;100;9;1672694725195;0.00316
APPROXIMATION;12347;100;9;1672694725195;0.00107
APPROXIMATION;12349;100;9;1672694725195;0.00345
APPROXIMATION;12351;100;9;1672694725195;0.00459
APPROXIMATION;12352;100;9;1672694725195;0.00114
APPROXIMATION;12345;100;9;1672694725195;0.01095
APPROXIMATION;12346;100;10;1672694725195;0.00451
APPROXIMATION;12347;100;10;1672694725195;0.00353
APPROXIMATION;12349;100;10;1672694725195;9.7E-4
APPROXIMATION;12348;100;10;1672694725195;0.00111
APPROXIMATION;12351;100;10;1672694725195;0.00564
APPROXIMATION;12352;100;10;1672694725195;0.00142
APPROXIMATION;12345;100;10;1672694725196;0.01321
APPROXIMATION;12346;100;11;1672694725196;0.00434
APPROXIMATION;12348;100;11;1672694725196;0.00415
APPROXIMATION;12347;100;11;1672694725196;0.00337
APPROXIMATION;12352;100;11;1672694725196;0.00462
APPROXIMATION;12351;100;11;1672694725196;0.00118
APPROXIMATION;12345;100;11;1672694725196;0.0032
APPROXIMATION;12349;100;11;1672694725196;0.00948
APPROXIMATION;12346;100;12;1672694725196;0.005
APPROXIMATION;12347;100;12;1672694725197;0.00329
APPROXIMATION;12348;100;12;1672694725197;0.00338
APPROXIMATION;12351;100;12;1672694725197;0.00324
APPROXIMATION;12345;100;12;1672694725197;0.00103
APPROXIMATION;12352;100;12;1672694725197;0.00387
APPROXIMATION;12349;100;12;1672694725197;0.00145
APPROXIMATION;12346;100;13;1672694725197;0.00453
APPROXIMATION;12347;100;13;1672694725197;0.00602
APPROXIMATION;12348;100;13;1672694725197;0.00346
APPROXIMATION;12352;100;13;1672694725197;0.00538
APPROXIMATION;12345;100;13;1672694725197;0.00315
APPROXIMATION;12349;100;13;1672694725197;0.00131
APPROXIMATION;12351;100;13;1672694725197;0.008951
HALTED;12346;100;14;1672694725197;0.00708
HALTED;12347;100;14;1672694725198;0.00595
HALTED;12348;100;14;1672694725198;0.00168
HALTED;12352;100;14;1672694725198;0.0038
HALTED;12351;100;14;1672694725198;0.004681
HALTED;12349;100;14;1672694725198;0.03858
HALTED;12345;100;14;1672694725198;0.00303
INITIALIZATION;12345;101;0;1672694725300;0.681086
INITIALIZATION;12346;101;0;1672694725301;0.01979
INITIALIZATION;12347;101;0;1672694725301;0.00129
INITIALIZATION;12349;101;0;1672694725301;0.00307
INITIALIZATION;12348;101;0;1672694725301;0.00297
INITIALIZATION;12351;101;0;1672694725301;0.00379
INITIALIZATION;12352;101;0;1672694725301;0.01368
APPROXIMATION;12347;101;1;1672694725302;0.00584
APPROXIMATION;12345;101;1;1672694725302;0.00299
APPROXIMATION;12346;101;1;1672694725302;0.0012
APPROXIMATION;12348;101;1;1672694725302;0.00409
APPROXIMATION;12349;101;1;1672694725302;0.00351
APPROXIMATION;12351;101;1;1672694725302;0.00116
APPROXIMATION;12352;101;1;1672694725302;0.01154
APPROXIMATION;12347;101;2;1672694725302;0.00458
APPROXIMATION;12346;101;2;1672694725302;0.00326
APPROXIMATION;12348;101;2;1672694725302;0.00234
APPROXIMATION;12351;101;2;1672694725302;0.0038
APPROXIMATION;12352;101;2;1672694725303;0.00494
APPROXIMATION;12349;101;2;1672694725303;0.00124
APPROXIMATION;12346;101;3;1672694725303;0.00481
APPROXIMATION;12347;101;3;1672694725303;0.00811
APPROXIMATION;12348;101;3;1672694725303;0.00328
APPROXIMATION;12349;101;3;1672694725303;0.00264
APPROXIMATION;12351;101;3;1672694725303;0.00387
APPROXIMATION;12345;101;2;1672694725349;0.01117
APPROXIMATION;12352;101;3;1672694725349;0.00393
APPROXIMATION;12345;101;3;1672694725350;0.01148
