tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-4;INITIALIZATION;12347;0;0;1675070559597;0.090708
pool-1-thread-3;INITIALIZATION;12346;0;0;1675070559597;0.770959
pool-1-thread-5;INITIALIZATION;12348;0;0;1675070559608;0.0735
pool-1-thread-1;INITIALIZATION;12349;0;0;1675070559610;0.041083
pool-1-thread-7;INITIALIZATION;12351;0;0;1675070559651;0.053291
pool-1-thread-8;INITIALIZATION;12350;0;0;1675070559682;0.089042
pool-1-thread-8;INITIALIZATION;12352;0;0;1675070559682;0.677959
pool-1-thread-17;APPROXIMATION;12347;0;1;1675070559730;0.070959
pool-1-thread-18;APPROXIMATION;12346;0;1;1675070559733;0.061625
pool-1-thread-12;APPROXIMATION;12349;0;1;1675070559757;0.083542
pool-1-thread-20;APPROXIMATION;12348;0;1;1675070559758;0.040375
pool-1-thread-21;APPROXIMATION;12350;0;1;1675070559760;0.134
pool-1-thread-22;APPROXIMATION;12351;0;1;1675070559833;0.054958
pool-1-thread-23;APPROXIMATION;12352;0;1;1675070559915;0.072292
pool-1-thread-24;APPROXIMATION;12346;0;2;1675070559918;0.0445
pool-1-thread-19;APPROXIMATION;12347;0;2;1675070559920;0.0875
pool-1-thread-29;APPROXIMATION;12348;0;2;1675070559921;0.054166
pool-1-thread-30;APPROXIMATION;12349;0;2;1675070559922;0.031375
pool-1-thread-32;APPROXIMATION;12350;0;2;1675070559924;0.053792
pool-1-thread-2;APPROXIMATION;12352;0;2;1675070559924;0.821542
pool-1-thread-3;APPROXIMATION;12351;0;2;1675070559926;1.575916
pool-1-thread-9;HALTED;12346;0;3;1675070559934;0.041041
pool-1-thread-10;HALTED;12347;0;3;1675070559937;0.051958
pool-1-thread-6;HALTED;12348;0;3;1675070559939;0.081583
pool-1-thread-14;HALTED;12349;0;3;1675070559942;0.062667
pool-1-thread-16;HALTED;12350;0;3;1675070559944;0.03475
pool-1-thread-16;HALTED;12351;0;3;1675070559944;0.912292
pool-1-thread-12;HALTED;12352;0;3;1675070559945;0.028166
pool-1-thread-28;INITIALIZATION;12347;1;0;1675070560057;0.041708
pool-1-thread-28;INITIALIZATION;12346;1;0;1675070560057;0.590625
pool-1-thread-29;INITIALIZATION;12348;1;0;1675070560057;0.960125
pool-1-thread-30;INITIALIZATION;12349;1;0;1675070560057;1.069083
pool-1-thread-32;INITIALIZATION;12350;1;0;1675070560059;0.021792
pool-1-thread-4;INITIALIZATION;12351;1;0;1675070560059;0.029583
pool-1-thread-2;INITIALIZATION;12352;1;0;1675070560061;0.131125
pool-1-thread-5;APPROXIMATION;12347;1;1;1675070560067;0.059458
pool-1-thread-1;APPROXIMATION;12348;1;1;1675070560067;0.259291
pool-1-thread-3;APPROXIMATION;12346;1;1;1675070560067;0.306375
pool-1-thread-14;APPROXIMATION;12349;1;1;1675070560072;0.037584
pool-1-thread-15;APPROXIMATION;12350;1;1;1675070560072;0.165875
pool-1-thread-14;APPROXIMATION;12351;1;1;1675070560072;0.149042
pool-1-thread-18;APPROXIMATION;12352;1;1;1675070560076;0.042042
pool-1-thread-16;APPROXIMATION;12348;1;2;1675070560078;0.080208
pool-1-thread-12;APPROXIMATION;12349;1;2;1675070560078;0.018167
pool-1-thread-22;APPROXIMATION;12346;1;2;1675070560081;0.073334
pool-1-thread-28;APPROXIMATION;12347;1;2;1675070560083;0.046375
pool-1-thread-31;APPROXIMATION;12351;1;2;1675070560083;0.026042
pool-1-thread-29;APPROXIMATION;12352;1;2;1675070560085;0.031333
pool-1-thread-30;APPROXIMATION;12350;1;2;1675070560085;0.032
pool-1-thread-32;HALTED;12348;1;3;1675070560087;0.062416
pool-1-thread-4;HALTED;12349;1;3;1675070560090;0.04
pool-1-thread-11;HALTED;12347;1;3;1675070560094;0.0495
pool-1-thread-10;HALTED;12351;1;3;1675070560094;0.081833
pool-1-thread-6;HALTED;12352;1;3;1675070560097;0.061875
pool-1-thread-13;HALTED;12346;1;3;1675070560098;0.037208
pool-1-thread-17;HALTED;12350;1;3;1675070560099;0.051084
pool-1-thread-16;INITIALIZATION;12346;2;0;1675070560214;0.128416
pool-1-thread-20;INITIALIZATION;12347;2;0;1675070560221;0.059959
pool-1-thread-23;INITIALIZATION;12348;2;0;1675070560235;0.096209
pool-1-thread-23;INITIALIZATION;12349;2;0;1675070560235;3.887875
pool-1-thread-26;INITIALIZATION;12350;2;0;1675070560249;0.074708
pool-1-thread-19;INITIALIZATION;12351;2;0;1675070560260;0.048209
pool-1-thread-28;INITIALIZATION;12352;2;0;1675070560266;0.064417
pool-1-thread-29;APPROXIMATION;12346;2;1;1675070560297;0.036041
pool-1-thread-32;APPROXIMATION;12347;2;1;1675070560309;0.038792
pool-1-thread-4;APPROXIMATION;12348;2;1;1675070560321;0.092291
pool-1-thread-4;APPROXIMATION;12349;2;1;1675070560321;0.894083
pool-1-thread-4;APPROXIMATION;12350;2;1;1675070560322;0.998875
pool-1-thread-3;APPROXIMATION;12352;2;1;1675070560322;1.198333
pool-1-thread-10;APPROXIMATION;12351;2;1;1675070560325;0.044459
pool-1-thread-12;APPROXIMATION;12346;2;2;1675070560340;0.114666
pool-1-thread-12;APPROXIMATION;12347;2;2;1675070560340;0.624833
pool-1-thread-12;APPROXIMATION;12348;2;2;1675070560341;0.608416
pool-1-thread-12;APPROXIMATION;12349;2;2;1675070560342;0.579792
pool-1-thread-12;APPROXIMATION;12350;2;2;1675070560343;0.532125
pool-1-thread-25;APPROXIMATION;12352;2;2;1675070560343;0.61125
pool-1-thread-23;APPROXIMATION;12351;2;2;1675070560344;0.023458
pool-1-thread-28;HALTED;12346;2;3;1675070560350;0.038167
pool-1-thread-29;HALTED;12347;2;3;1675070560351;0.030917
pool-1-thread-32;HALTED;12348;2;3;1675070560353;0.04425
pool-1-thread-5;HALTED;12349;2;3;1675070560354;0.029875
pool-1-thread-7;HALTED;12350;2;3;1675070560355;0.029625
pool-1-thread-9;HALTED;12351;2;3;1675070560356;0.024333
pool-1-thread-9;HALTED;12352;2;3;1675070560356;0.567625
pool-1-thread-6;INITIALIZATION;12346;3;0;1675070560467;0.03825
pool-1-thread-17;INITIALIZATION;12347;3;0;1675070560472;0.058334
pool-1-thread-14;INITIALIZATION;12348;3;0;1675070560477;0.033375
pool-1-thread-16;INITIALIZATION;12349;3;0;1675070560487;0.05125
pool-1-thread-21;INITIALIZATION;12350;3;0;1675070560499;0.044834
pool-1-thread-22;INITIALIZATION;12351;3;0;1675070560506;0.0355
pool-1-thread-24;INITIALIZATION;12352;3;0;1675070560521;0.070417
pool-1-thread-25;APPROXIMATION;12346;3;1;1675070560553;0.070958
pool-1-thread-26;APPROXIMATION;12347;3;1;1675070560566;0.048125
pool-1-thread-28;APPROXIMATION;12348;3;1;1675070560573;0.037417
pool-1-thread-29;APPROXIMATION;12349;3;1;1675070560576;0.041375
pool-1-thread-32;APPROXIMATION;12350;3;1;1675070560580;0.03675
pool-1-thread-32;APPROXIMATION;12352;3;1;1675070560580;4.216541
pool-1-thread-1;APPROXIMATION;12351;3;1;1675070560585;0.049583
pool-1-thread-9;APPROXIMATION;12346;3;2;1675070560599;0.073042
pool-1-thread-10;APPROXIMATION;12347;3;2;1675070560601;0.034
pool-1-thread-6;APPROXIMATION;12348;3;2;1675070560604;0.044375
pool-1-thread-17;APPROXIMATION;12349;3;2;1675070560605;0.044458
pool-1-thread-14;APPROXIMATION;12350;3;2;1675070560608;0.038625
pool-1-thread-14;APPROXIMATION;12351;3;2;1675070560608;1.088375
pool-1-thread-20;APPROXIMATION;12352;3;2;1675070560610;0.019375
pool-1-thread-12;HALTED;12347;3;3;1675070560617;0.030625
pool-1-thread-23;HALTED;12348;3;3;1675070560618;0.024667
pool-1-thread-19;HALTED;12349;3;3;1675070560619;0.021667
pool-1-thread-28;HALTED;12350;3;3;1675070560620;0.05075
pool-1-thread-30;HALTED;12351;3;3;1675070560621;0.031875
pool-1-thread-2;HALTED;12352;3;3;1675070560628;0.041042
pool-1-thread-5;HALTED;12346;3;3;1675070560628;0.015667
pool-1-thread-4;INITIALIZATION;12346;4;0;1675070560735;0.3385
pool-1-thread-8;INITIALIZATION;12347;4;0;1675070560741;0.051875
pool-1-thread-11;INITIALIZATION;12348;4;0;1675070560748;0.022167
pool-1-thread-13;INITIALIZATION;12349;4;0;1675070560756;0.044917
pool-1-thread-17;INITIALIZATION;12350;4;0;1675070560763;0.056958
pool-1-thread-15;INITIALIZATION;12351;4;0;1675070560771;0.031584
pool-1-thread-18;INITIALIZATION;12352;4;0;1675070560780;0.049208
pool-1-thread-14;APPROXIMATION;12346;4;1;1675070560813;0.041708
pool-1-thread-21;APPROXIMATION;12347;4;1;1675070560820;0.023792
pool-1-thread-24;APPROXIMATION;12348;4;1;1675070560823;0.023
pool-1-thread-25;APPROXIMATION;12349;4;1;1675070560824;0.021791
pool-1-thread-26;APPROXIMATION;12350;4;1;1675070560825;0.038917
pool-1-thread-26;APPROXIMATION;12352;4;1;1675070560825;1.2445
pool-1-thread-31;APPROXIMATION;12351;4;1;1675070560826;1.619083
pool-1-thread-2;APPROXIMATION;12346;4;2;1675070560830;0.05075
pool-1-thread-32;APPROXIMATION;12347;4;2;1675070560832;0.020208
pool-1-thread-7;APPROXIMATION;12348;4;2;1675070560833;0.042041
pool-1-thread-7;APPROXIMATION;12349;4;2;1675070560833;0.562458
pool-1-thread-8;APPROXIMATION;12350;4;2;1675070560834;0.034833
pool-1-thread-8;APPROXIMATION;12351;4;2;1675070560835;0.610209
