tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12345;0;0;1675070559368;150.741042
pool-16-thread-2;INITIALIZATION;12347;0;0;1675070559520;64.497833
pool-16-thread-3;INITIALIZATION;12349;0;0;1675070559585;26.3365
pool-16-thread-4;INITIALIZATION;12348;0;0;1675070559612;0.475792
pool-16-thread-5;INITIALIZATION;12351;0;0;1675070559613;38.77175
pool-16-thread-6;INITIALIZATION;12350;0;0;1675070559653;29.802041
pool-16-thread-7;INITIALIZATION;12352;0;0;1675070559684;0.085458
pool-16-thread-8;APPROXIMATION;12345;0;1;1675070559686;23.781916
pool-16-thread-9;APPROXIMATION;12347;0;1;1675070559711;22.080458
pool-16-thread-10;APPROXIMATION;12349;0;1;1675070559734;26.2735
pool-16-thread-10;APPROXIMATION;12348;0;1;1675070559761;0.331
pool-16-thread-2;APPROXIMATION;12350;0;1;1675070559761;3.355958
pool-16-thread-2;APPROXIMATION;12351;0;1;1675070559765;69.302333
pool-16-thread-2;APPROXIMATION;12352;0;1;1675070559834;81.139458
pool-16-thread-2;APPROXIMATION;12345;0;2;1675070559916;2.735375
pool-16-thread-2;APPROXIMATION;12347;0;2;1675070559918;3.936916
pool-16-thread-2;APPROXIMATION;12348;0;2;1675070559923;1.538917
pool-16-thread-2;APPROXIMATION;12349;0;2;1675070559924;1.211041
pool-16-thread-2;APPROXIMATION;12350;0;2;1675070559926;1.752959
pool-16-thread-2;APPROXIMATION;12352;0;2;1675070559928;1.230125
pool-16-thread-2;APPROXIMATION;12351;0;2;1675070559929;1.633542
pool-16-thread-2;HALTED;12345;0;3;1675070559931;2.578541
pool-16-thread-2;HALTED;12347;0;3;1675070559934;6.025542
pool-16-thread-2;HALTED;12348;0;3;1675070559940;3.219
pool-16-thread-2;HALTED;12349;0;3;1675070559943;1.474959
pool-16-thread-2;HALTED;12350;0;3;1675070559945;0.737917
pool-16-thread-2;HALTED;12351;0;3;1675070559946;0.441792
pool-16-thread-2;HALTED;12352;0;3;1675070559946;0.3285
pool-16-thread-2;INITIALIZATION;12345;1;0;1675070559947;106.652958
pool-16-thread-10;INITIALIZATION;12347;1;0;1675070560053;4.37
pool-16-thread-10;INITIALIZATION;12349;1;0;1675070560058;0.530875
pool-16-thread-10;INITIALIZATION;12348;1;0;1675070560059;0.994167
pool-16-thread-10;INITIALIZATION;12350;1;0;1675070560060;1.212917
pool-16-thread-10;INITIALIZATION;12351;1;0;1675070560061;0.620917
pool-16-thread-10;INITIALIZATION;12352;1;0;1675070560062;0.73025
pool-16-thread-10;APPROXIMATION;12347;1;1;1675070560063;4.1835
pool-16-thread-10;APPROXIMATION;12345;1;1;1675070560067;2.366084
pool-16-thread-1;APPROXIMATION;12348;1;1;1675070560070;0.036834
pool-16-thread-1;APPROXIMATION;12350;1;1;1675070560070;2.557375
pool-16-thread-3;APPROXIMATION;12351;1;1;1675070560072;0.042917
pool-16-thread-3;APPROXIMATION;12349;1;1;1675070560072;1.741042
pool-16-thread-5;APPROXIMATION;12352;1;1;1675070560074;1.969417
pool-16-thread-6;APPROXIMATION;12348;1;2;1675070560076;2.259125
pool-16-thread-6;APPROXIMATION;12349;1;2;1675070560079;0.06125
pool-16-thread-7;APPROXIMATION;12345;1;2;1675070560079;1.863583
pool-16-thread-9;APPROXIMATION;12347;1;2;1675070560081;2.078917
pool-16-thread-10;APPROXIMATION;12351;1;2;1675070560083;0.289875
pool-16-thread-2;APPROXIMATION;12352;1;2;1675070560083;1.415583
pool-16-thread-1;APPROXIMATION;12350;1;2;1675070560085;0.9075
pool-16-thread-4;HALTED;12348;1;3;1675070560086;1.646458
pool-16-thread-3;HALTED;12345;1;3;1675070560088;3.168875
pool-16-thread-5;HALTED;12349;1;3;1675070560091;2.118042
pool-16-thread-6;HALTED;12351;1;3;1675070560093;1.542084
pool-16-thread-8;HALTED;12347;1;3;1675070560095;0.637917
pool-16-thread-8;HALTED;12352;1;3;1675070560096;1.421083
pool-16-thread-9;HALTED;12350;1;3;1675070560097;2.120917
pool-16-thread-9;INITIALIZATION;12345;2;0;1675070560099;106.698833
pool-16-thread-2;INITIALIZATION;12347;2;0;1675070560208;22.659083
pool-16-thread-2;INITIALIZATION;12348;2;0;1675070560231;17.553833
pool-16-thread-2;INITIALIZATION;12349;2;0;1675070560248;7.362958
pool-16-thread-2;INITIALIZATION;12350;2;0;1675070560256;8.355959
pool-16-thread-2;INITIALIZATION;12351;2;0;1675070560264;7.582583
pool-16-thread-2;INITIALIZATION;12352;2;0;1675070560272;8.860333
pool-16-thread-2;APPROXIMATION;12345;2;1;1675070560281;9.511084
pool-16-thread-2;APPROXIMATION;12347;2;1;1675070560291;28.356958
pool-16-thread-2;APPROXIMATION;12348;2;1;1675070560319;1.680125
pool-16-thread-2;APPROXIMATION;12349;2;1;1675070560321;1.339083
pool-16-thread-2;APPROXIMATION;12350;2;1;1675070560323;1.798084
pool-16-thread-2;APPROXIMATION;12351;2;1;1675070560325;2.64375
pool-16-thread-2;APPROXIMATION;12345;2;2;1675070560327;0.455042
pool-16-thread-2;APPROXIMATION;12352;2;1;1675070560328;10.788542
pool-16-thread-2;APPROXIMATION;12347;2;2;1675070560339;3.186333
pool-16-thread-2;APPROXIMATION;12348;2;2;1675070560342;0.467
pool-16-thread-2;APPROXIMATION;12349;2;2;1675070560343;0.489709
pool-16-thread-2;APPROXIMATION;12350;2;2;1675070560343;0.712125
pool-16-thread-2;APPROXIMATION;12352;2;2;1675070560344;0.862
