tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-16-thread-1;INITIALIZATION;12345;0;0;1675070559523;34.190458
pool-16-thread-2;INITIALIZATION;12347;0;0;1675070559585;0.060458
pool-16-thread-3;INITIALIZATION;12349;0;0;1675070559612;0.041791
pool-16-thread-4;INITIALIZATION;12348;0;0;1675070559613;0.03225
pool-16-thread-5;INITIALIZATION;12351;0;0;1675070559653;0.038875
pool-16-thread-6;INITIALIZATION;12350;0;0;1675070559684;0.043667
pool-16-thread-7;INITIALIZATION;12352;0;0;1675070559685;0.086875
pool-16-thread-8;APPROXIMATION;12345;0;1;1675070559710;0.069542
pool-16-thread-9;APPROXIMATION;12347;0;1;1675070559734;0.037167
pool-16-thread-10;APPROXIMATION;12349;0;1;1675070559761;0.042917
pool-16-thread-10;APPROXIMATION;12348;0;1;1675070559761;0.0275
pool-16-thread-2;APPROXIMATION;12350;0;1;1675070559765;0.083458
pool-16-thread-2;APPROXIMATION;12351;0;1;1675070559834;0.035125
pool-16-thread-2;APPROXIMATION;12352;0;1;1675070559915;0.047291
pool-16-thread-2;APPROXIMATION;12345;0;2;1675070559918;0.034416
pool-16-thread-2;APPROXIMATION;12347;0;2;1675070559923;0.060167
pool-16-thread-2;APPROXIMATION;12348;0;2;1675070559924;0.062042
pool-16-thread-2;APPROXIMATION;12349;0;2;1675070559926;0.031084
pool-16-thread-2;APPROXIMATION;12350;0;2;1675070559928;0.078583
pool-16-thread-2;APPROXIMATION;12352;0;2;1675070559929;0.057834
pool-16-thread-2;APPROXIMATION;12351;0;2;1675070559931;0.097875
pool-16-thread-2;HALTED;12345;0;3;1675070559934;0.05
pool-16-thread-2;HALTED;12347;0;3;1675070559940;0.035625
pool-16-thread-2;HALTED;12348;0;3;1675070559943;0.04225
pool-16-thread-2;HALTED;12349;0;3;1675070559945;0.046875
pool-16-thread-2;HALTED;12350;0;3;1675070559946;0.045708
pool-16-thread-2;HALTED;12351;0;3;1675070559946;0.035292
pool-16-thread-2;HALTED;12352;0;3;1675070559947;0.02525
pool-16-thread-2;INITIALIZATION;12345;1;0;1675070560053;1.674417
pool-16-thread-10;INITIALIZATION;12347;1;0;1675070560058;0.025417
pool-16-thread-10;INITIALIZATION;12349;1;0;1675070560059;0.021792
pool-16-thread-10;INITIALIZATION;12348;1;0;1675070560060;0.0455
pool-16-thread-10;INITIALIZATION;12350;1;0;1675070560061;0.027125
pool-16-thread-10;INITIALIZATION;12351;1;0;1675070560062;0.036125
pool-16-thread-10;INITIALIZATION;12352;1;0;1675070560063;0.028708
pool-16-thread-10;APPROXIMATION;12347;1;1;1675070560067;0.021708
pool-16-thread-10;APPROXIMATION;12345;1;1;1675070560070;0.021125
pool-16-thread-1;APPROXIMATION;12348;1;1;1675070560070;0.013917
pool-16-thread-1;APPROXIMATION;12350;1;1;1675070560072;0.042791
pool-16-thread-3;APPROXIMATION;12351;1;1;1675070560072;0.0165
pool-16-thread-3;APPROXIMATION;12349;1;1;1675070560074;0.033833
pool-16-thread-5;APPROXIMATION;12352;1;1;1675070560076;0.038875
pool-16-thread-6;APPROXIMATION;12348;1;2;1675070560079;0.041458
pool-16-thread-6;APPROXIMATION;12349;1;2;1675070560079;0.019458
pool-16-thread-7;APPROXIMATION;12345;1;2;1675070560081;0.02075
pool-16-thread-9;APPROXIMATION;12347;1;2;1675070560083;0.062792
pool-16-thread-10;APPROXIMATION;12351;1;2;1675070560083;0.030792
pool-16-thread-2;APPROXIMATION;12352;1;2;1675070560085;0.08925
pool-16-thread-1;APPROXIMATION;12350;1;2;1675070560086;0.041083
pool-16-thread-4;HALTED;12348;1;3;1675070560088;0.760833
pool-16-thread-3;HALTED;12345;1;3;1675070560091;2.549084
pool-16-thread-5;HALTED;12349;1;3;1675070560093;0.241791
pool-16-thread-6;HALTED;12351;1;3;1675070560095;0.044291
pool-16-thread-8;HALTED;12347;1;3;1675070560095;0.036459
pool-16-thread-8;HALTED;12352;1;3;1675070560097;0.017292
pool-16-thread-9;HALTED;12350;1;3;1675070560099;0.031625
pool-16-thread-9;INITIALIZATION;12345;2;0;1675070560206;3.585458
pool-16-thread-2;INITIALIZATION;12347;2;0;1675070560231;0.042709
pool-16-thread-2;INITIALIZATION;12348;2;0;1675070560248;0.030375
pool-16-thread-2;INITIALIZATION;12349;2;0;1675070560256;0.039584
pool-16-thread-2;INITIALIZATION;12350;2;0;1675070560264;0.032583
pool-16-thread-2;INITIALIZATION;12351;2;0;1675070560272;0.095375
pool-16-thread-2;INITIALIZATION;12352;2;0;1675070560281;0.044333
pool-16-thread-2;APPROXIMATION;12345;2;1;1675070560291;0.035166
pool-16-thread-2;APPROXIMATION;12347;2;1;1675070560319;0.0285
pool-16-thread-2;APPROXIMATION;12348;2;1;1675070560321;0.051416
pool-16-thread-2;APPROXIMATION;12349;2;1;1675070560323;0.023042
pool-16-thread-2;APPROXIMATION;12350;2;1;1675070560325;0.027459
pool-16-thread-2;APPROXIMATION;12351;2;1;1675070560327;0.026583
pool-16-thread-2;APPROXIMATION;12345;2;2;1675070560328;0.046083
pool-16-thread-2;APPROXIMATION;12352;2;1;1675070560339;0.034709
pool-16-thread-2;APPROXIMATION;12347;2;2;1675070560342;0.027041
pool-16-thread-2;APPROXIMATION;12348;2;2;1675070560343;0.017583
pool-16-thread-2;APPROXIMATION;12349;2;2;1675070560343;0.018667
pool-16-thread-2;APPROXIMATION;12350;2;2;1675070560344;0.02075
pool-16-thread-2;APPROXIMATION;12352;2;2;1675070560345;0.024209
pool-16-thread-2;APPROXIMATION;12351;2;2;1675070560347;0.064625
pool-16-thread-2;HALTED;12345;2;3;1675070560348;0.01975
pool-16-thread-2;HALTED;12347;2;3;1675070560354;0.089916
pool-16-thread-2;HALTED;12348;2;3;1675070560355;0.039417
pool-16-thread-2;HALTED;12349;2;3;1675070560355;0.019042
pool-16-thread-2;HALTED;12350;2;3;1675070560356;0.020916
pool-16-thread-2;HALTED;12351;2;3;1675070560358;0.020625
pool-16-thread-2;HALTED;12352;2;3;1675070560358;0.018042
pool-16-thread-2;INITIALIZATION;12345;3;0;1675070560461;2.577083
pool-16-thread-1;INITIALIZATION;12347;3;0;1675070560480;0.029542
pool-16-thread-1;INITIALIZATION;12348;3;0;1675070560491;0.0325
pool-16-thread-1;INITIALIZATION;12349;3;0;1675070560501;0.033875
pool-16-thread-1;INITIALIZATION;12350;3;0;1675070560512;0.061083
pool-16-thread-1;INITIALIZATION;12351;3;0;1675070560523;0.033333
pool-16-thread-1;INITIALIZATION;12352;3;0;1675070560539;0.056709
pool-16-thread-1;APPROXIMATION;12345;3;1;1675070560550;0.035666
pool-16-thread-1;APPROXIMATION;12347;3;1;1675070560574;0.034083
pool-16-thread-1;APPROXIMATION;12348;3;1;1675070560577;0.031833
pool-16-thread-1;APPROXIMATION;12349;3;1;1675070560583;0.069625
pool-16-thread-1;APPROXIMATION;12350;3;1;1675070560587;0.033625
pool-16-thread-1;APPROXIMATION;12352;3;1;1675070560591;0.039833
pool-16-thread-1;APPROXIMATION;12351;3;1;1675070560594;0.11
pool-16-thread-1;APPROXIMATION;12345;3;2;1675070560596;0.025625
pool-16-thread-1;APPROXIMATION;12347;3;2;1675070560604;0.08875
pool-16-thread-1;APPROXIMATION;12348;3;2;1675070560606;0.028666
pool-16-thread-1;APPROXIMATION;12349;3;2;1675070560608;0.024917
pool-16-thread-1;APPROXIMATION;12350;3;2;1675070560626;0.017834
pool-16-thread-1;HALTED;12345;3;3;1675070560627;0.030125
pool-16-thread-1;HALTED;12349;3;3;1675070560627;0.01825
pool-16-thread-1;HALTED;12347;3;3;1675070560627;0.012292
pool-16-thread-3;HALTED;12348;3;3;1675070560627;0.013916
pool-16-thread-5;HALTED;12350;3;3;1675070560627;0.014375
pool-16-thread-5;HALTED;12351;3;3;1675070560628;0.027167
pool-16-thread-7;APPROXIMATION;12352;3;2;1675070560628;0.00825
pool-16-thread-7;APPROXIMATION;12351;3;2;1675070560628;0.017792
pool-16-thread-7;HALTED;12352;3;3;1675070560628;0.011083
pool-16-thread-7;INITIALIZATION;12345;4;0;1675070560730;2.680584
pool-16-thread-4;INITIALIZATION;12347;4;0;1675070560753;0.038084
pool-16-thread-4;INITIALIZATION;12348;4;0;1675070560764;0.027625
pool-16-thread-4;INITIALIZATION;12349;4;0;1675070560770;0.02175
pool-16-thread-4;INITIALIZATION;12350;4;0;1675070560775;0.026
pool-16-thread-4;INITIALIZATION;12351;4;0;1675070560781;0.025959
pool-16-thread-4;INITIALIZATION;12352;4;0;1675070560800;0.047542
pool-16-thread-4;APPROXIMATION;12345;4;1;1675070560805;0.027791
pool-16-thread-4;APPROXIMATION;12347;4;1;1675070560824;0.026292
pool-16-thread-4;APPROXIMATION;12348;4;1;1675070560824;0.038625
pool-16-thread-4;APPROXIMATION;12349;4;1;1675070560826;0.025917
pool-16-thread-4;APPROXIMATION;12350;4;1;1675070560827;0.04375
pool-16-thread-4;APPROXIMATION;12352;4;1;1675070560828;0.038792
pool-16-thread-4;APPROXIMATION;12351;4;1;1675070560829;0.082375
pool-16-thread-4;APPROXIMATION;12345;4;2;1675070560830;0.019583
pool-16-thread-4;APPROXIMATION;12347;4;2;1675070560833;0.024291
pool-16-thread-4;APPROXIMATION;12348;4;2;1675070560835;0.071375
pool-16-thread-4;APPROXIMATION;12349;4;2;1675070560835;0.020833
pool-16-thread-4;APPROXIMATION;12350;4;2;1675070560836;0.014542
pool-16-thread-4;APPROXIMATION;12351;4;2;1675070560837;0.021167
