tid;type;senderPort;reqIdInternal;Round;startWalltime;duration
pool-1-thread-28;INITIALIZATION;12345;0;0;1675070559502;12208.107875
pool-1-thread-29;INITIALIZATION;12347;0;0;1675070559584;3221473.29125
pool-1-thread-30;INITIALIZATION;12346;0;0;1675070559585;3221474.04275
pool-1-thread-1;INITIALIZATION;12349;0;0;1675070559613;9293.603292
pool-1-thread-6;INITIALIZATION;12351;0;0;1675070559653;3298.554542
pool-1-thread-8;INITIALIZATION;12350;0;0;1675070559685;6368.23775
pool-1-thread-8;INITIALIZATION;12352;0;0;1675070559685;347.270208
pool-1-thread-11;APPROXIMATION;12345;0;1;1675070559710;187.439708
pool-1-thread-12;APPROXIMATION;12347;0;1;1675070559733;148.98825
pool-1-thread-13;APPROXIMATION;12346;0;1;1675070559735;150.040875
pool-1-thread-16;APPROXIMATION;12349;0;1;1675070559764;150.942584
pool-1-thread-20;APPROXIMATION;12350;0;1;1675070559766;80.924375
pool-1-thread-23;APPROXIMATION;12351;0;1;1675070559835;181.040667
pool-1-thread-21;APPROXIMATION;12352;0;1;1675070559917;230.900458
pool-1-thread-25;APPROXIMATION;12346;0;2;1675070559921;185.752
pool-1-thread-25;APPROXIMATION;12345;0;2;1675070559921;211.273208
pool-1-thread-29;APPROXIMATION;12347;0;2;1675070559924;190.123292
pool-1-thread-32;APPROXIMATION;12349;0;2;1675070559929;165.201208
pool-1-thread-1;APPROXIMATION;12350;0;2;1675070559931;165.161583
pool-1-thread-4;APPROXIMATION;12352;0;2;1675070559932;14.802917
pool-1-thread-5;APPROXIMATION;12351;0;2;1675070559934;99.270334
pool-1-thread-6;HALTED;12345;0;3;1675070559938;15.743333
pool-1-thread-6;HALTED;12346;0;3;1675070559938;17.192166
pool-1-thread-11;HALTED;12347;0;3;1675070559941;17.25375
pool-1-thread-15;HALTED;12349;0;3;1675070559946;16.470333
pool-1-thread-16;HALTED;12350;0;3;1675070559947;15.380291
pool-1-thread-16;HALTED;12351;0;3;1675070559947;12.585166
pool-1-thread-20;HALTED;12352;0;3;1675070559948;14.32425
pool-1-thread-22;INITIALIZATION;12345;1;0;1675070560053;114.908209
pool-1-thread-26;INITIALIZATION;12347;1;0;1675070560059;117.473375
pool-1-thread-26;INITIALIZATION;12346;1;0;1675070560059;119.156708
pool-1-thread-28;INITIALIZATION;12349;1;0;1675070560061;114.856875
pool-1-thread-31;INITIALIZATION;12350;1;0;1675070560063;116.248042
pool-1-thread-3;INITIALIZATION;12351;1;0;1675070560064;116.744791
pool-1-thread-1;INITIALIZATION;12352;1;0;1675070560064;116.84325
pool-1-thread-5;APPROXIMATION;12347;1;1;1675070560067;8.337209
pool-1-thread-7;APPROXIMATION;12346;1;1;1675070560067;7.270708
pool-1-thread-14;APPROXIMATION;12345;1;1;1675070560071;17.032292
pool-1-thread-9;APPROXIMATION;12350;1;1;1675070560072;9.12575
pool-1-thread-15;APPROXIMATION;12351;1;1;1675070560073;8.582084
pool-1-thread-18;APPROXIMATION;12349;1;1;1675070560074;13.091916
pool-1-thread-19;APPROXIMATION;12352;1;1;1675070560076;11.46825
pool-1-thread-24;APPROXIMATION;12349;1;2;1675070560079;4.992
pool-1-thread-26;APPROXIMATION;12345;1;2;1675070560081;10.335
pool-1-thread-28;APPROXIMATION;12346;1;2;1675070560081;13.617625
pool-1-thread-29;APPROXIMATION;12347;1;2;1675070560083;15.561333
pool-1-thread-30;APPROXIMATION;12351;1;2;1675070560084;10.815333
pool-1-thread-31;APPROXIMATION;12352;1;2;1675070560085;8.54475
pool-1-thread-32;APPROXIMATION;12350;1;2;1675070560086;13.301458
pool-1-thread-8;HALTED;12349;1;3;1675070560091;11.376125
pool-1-thread-6;HALTED;12345;1;3;1675070560091;9.902209
pool-1-thread-11;HALTED;12351;1;3;1675070560095;11.039208
pool-1-thread-12;HALTED;12347;1;3;1675070560095;12.413792
pool-1-thread-13;HALTED;12352;1;3;1675070560097;11.968708
pool-1-thread-14;HALTED;12346;1;3;1675070560098;16.954875
pool-1-thread-9;HALTED;12350;1;3;1675070560099;13.29025
pool-1-thread-15;INITIALIZATION;12345;2;0;1675070560213;121.865416
pool-1-thread-18;INITIALIZATION;12346;2;0;1675070560225;126.412375
pool-1-thread-16;INITIALIZATION;12347;2;0;1675070560238;141.904208
pool-1-thread-23;INITIALIZATION;12349;2;0;1675070560268;177.073583
pool-1-thread-24;INITIALIZATION;12350;2;0;1675070560280;180.256084
pool-1-thread-26;INITIALIZATION;12351;2;0;1675070560291;196.194792
pool-1-thread-29;INITIALIZATION;12352;2;0;1675070560302;204.869125
pool-1-thread-30;APPROXIMATION;12345;2;1;1675070560310;96.655125
pool-1-thread-32;APPROXIMATION;12346;2;1;1675070560319;93.714
pool-1-thread-2;APPROXIMATION;12347;2;1;1675070560321;83.149458
pool-1-thread-5;APPROXIMATION;12349;2;1;1675070560326;57.198458
pool-1-thread-10;APPROXIMATION;12350;2;1;1675070560328;47.85175
pool-1-thread-6;APPROXIMATION;12351;2;1;1675070560328;36.906875
pool-1-thread-12;APPROXIMATION;12345;2;2;1675070560329;18.478667
pool-1-thread-13;APPROXIMATION;12352;2;1;1675070560339;36.696667
pool-1-thread-9;APPROXIMATION;12346;2;2;1675070560342;23.1515
pool-1-thread-18;APPROXIMATION;12347;2;2;1675070560343;21.977
pool-1-thread-17;APPROXIMATION;12349;2;2;1675070560346;19.66
pool-1-thread-22;APPROXIMATION;12350;2;2;1675070560348;19.596417
pool-1-thread-22;APPROXIMATION;12352;2;2;1675070560348;8.214834
pool-1-thread-24;APPROXIMATION;12351;2;2;1675070560349;20.854875
pool-1-thread-26;HALTED;12345;2;3;1675070560351;21.683666
pool-1-thread-28;HALTED;12346;2;3;1675070560353;10.529208
pool-1-thread-31;HALTED;12347;2;3;1675070560354;11.252458
pool-1-thread-2;HALTED;12349;2;3;1675070560357;11.495
pool-1-thread-4;HALTED;12350;2;3;1675070560358;10.197916
pool-1-thread-7;HALTED;12351;2;3;1675070560359;8.5565
pool-1-thread-7;HALTED;12352;2;3;1675070560359;10.018125
pool-1-thread-11;INITIALIZATION;12345;3;0;1675070560465;113.86175
pool-1-thread-12;INITIALIZATION;12346;3;0;1675070560482;129.611125
pool-1-thread-13;INITIALIZATION;12347;3;0;1675070560487;132.088875
pool-1-thread-18;INITIALIZATION;12349;3;0;1675070560515;157.150084
pool-1-thread-16;INITIALIZATION;12350;3;0;1675070560524;166.548666
pool-1-thread-20;INITIALIZATION;12351;3;0;1675070560538;179.225667
pool-1-thread-21;INITIALIZATION;12352;3;0;1675070560558;198.926542
pool-1-thread-22;APPROXIMATION;12345;3;1;1675070560568;102.802
pool-1-thread-24;APPROXIMATION;12346;3;1;1675070560573;90.341583
pool-1-thread-28;APPROXIMATION;12347;3;1;1675070560577;88.017625
pool-1-thread-32;APPROXIMATION;12349;3;1;1675070560592;77.783958
pool-1-thread-2;APPROXIMATION;12350;3;1;1675070560596;71.295125
pool-1-thread-2;APPROXIMATION;12352;3;1;1675070560596;37.77275
pool-1-thread-5;APPROXIMATION;12351;3;1;1675070560599;60.802042
pool-1-thread-5;APPROXIMATION;12345;3;2;1675070560599;31.466625
pool-1-thread-7;APPROXIMATION;12346;3;2;1675070560604;30.752542
pool-1-thread-11;APPROXIMATION;12347;3;2;1675070560605;27.7035
pool-1-thread-13;APPROXIMATION;12349;3;2;1675070560610;17.637291
pool-1-thread-9;APPROXIMATION;12350;3;2;1675070560612;15.740667
pool-1-thread-9;APPROXIMATION;12351;3;2;1675070560612;12.720375
pool-1-thread-9;APPROXIMATION;12352;3;2;1675070560613;15.712541
pool-1-thread-20;HALTED;12345;3;3;1675070560617;16.117042
pool-1-thread-21;HALTED;12347;3;3;1675070560619;14.222584
pool-1-thread-28;HALTED;12349;3;3;1675070560621;10.978583
pool-1-thread-29;HALTED;12350;3;3;1675070560622;10.07775
pool-1-thread-31;HALTED;12351;3;3;1675070560623;10.053916
pool-1-thread-3;HALTED;12352;3;3;1675070560629;13.554709
pool-1-thread-1;HALTED;12346;3;3;1675070560629;25.274041
pool-1-thread-4;INITIALIZATION;12345;4;0;1675070560735;118.161708
pool-1-thread-2;INITIALIZATION;12346;4;0;1675070560747;117.938542
pool-1-thread-5;INITIALIZATION;12347;4;0;1675070560756;136.683291
pool-1-thread-6;INITIALIZATION;12349;4;0;1675070560782;159.975583
pool-1-thread-6;INITIALIZATION;12350;4;0;1675070560782;160.218125
pool-1-thread-15;INITIALIZATION;12351;4;0;1675070560804;180.706041
pool-1-thread-19;INITIALIZATION;12352;4;0;1675070560813;184.250167
pool-1-thread-16;APPROXIMATION;12346;4;1;1675070560822;74.260291
pool-1-thread-16;APPROXIMATION;12345;4;1;1675070560822;86.609667
pool-1-thread-23;APPROXIMATION;12347;4;1;1675070560824;68.217667
pool-1-thread-24;APPROXIMATION;12349;4;1;1675070560828;46.077667
pool-1-thread-24;APPROXIMATION;12350;4;1;1675070560828;37.629959
pool-1-thread-24;APPROXIMATION;12352;4;1;1675070560829;15.664
pool-1-thread-30;APPROXIMATION;12351;4;1;1675070560830;25.644583
pool-1-thread-32;APPROXIMATION;12345;4;2;1675070560832;9.449
pool-1-thread-3;APPROXIMATION;12346;4;2;1675070560833;11.059125
pool-1-thread-4;APPROXIMATION;12347;4;2;1675070560834;9.363
pool-1-thread-8;APPROXIMATION;12349;4;2;1675070560837;8.124542
pool-1-thread-7;APPROXIMATION;12350;4;2;1675070560837;8.182
pool-1-thread-12;APPROXIMATION;12351;4;2;1675070560838;7.432708
pool-1-thread-12;APPROXIMATION;12352;4;2;1675070560838;8.436625
pool-1-thread-15;HALTED;12345;4;3;1675070560840;7.843
pool-1-thread-19;HALTED;12346;4;3;1675070560841;8.408625
pool-1-thread-9;HALTED;12347;4;3;1675070560842;8.381167
pool-1-thread-21;HALTED;12349;4;3;1675070560845;8.469625
pool-1-thread-25;HALTED;12350;4;3;1675070560846;8.384375
pool-1-thread-28;HALTED;12352;4;3;1675070560846;7.465
pool-1-thread-28;HALTED;12351;4;3;1675070560846;8.271375
pool-1-thread-24;INITIALIZATION;12345;5;0;1675070560954;114.309666
pool-1-thread-30;INITIALIZATION;12346;5;0;1675070560972;130.61825
pool-1-thread-30;INITIALIZATION;12347;5;0;1675070560972;129.895583
pool-1-thread-2;INITIALIZATION;12349;5;0;1675070560988;143.136334
pool-1-thread-5;INITIALIZATION;12350;5;0;1675070560995;149.674167
pool-1-thread-8;INITIALIZATION;12351;5;0;1675070560997;150.164542
pool-1-thread-14;INITIALIZATION;12352;5;0;1675070561006;159.319708
pool-1-thread-6;APPROXIMATION;12345;5;1;1675070561010;55.904125
pool-1-thread-12;APPROXIMATION;12346;5;1;1675070561017;45.265667
pool-1-thread-18;APPROXIMATION;12347;5;1;1675070561029;52.297458
pool-1-thread-16;APPROXIMATION;12349;5;1;1675070561055;66.805625
pool-1-thread-20;APPROXIMATION;12350;5;1;1675070561064;68.10275
pool-1-thread-23;APPROXIMATION;12352;5;1;1675070561066;59.784833
pool-1-thread-22;APPROXIMATION;12345;5;2;1675070561069;58.488875
pool-1-thread-25;APPROXIMATION;12351;5;1;1675070561070;71.719416
pool-1-thread-29;APPROXIMATION;12346;5;2;1675070561076;58.264875
pool-1-thread-24;APPROXIMATION;12347;5;2;1675070561077;47.403125
pool-1-thread-30;APPROXIMATION;12349;5;2;1675070561080;24.330917
pool-1-thread-4;APPROXIMATION;12350;5;2;1675070561081;16.73075
pool-1-thread-4;APPROXIMATION;12352;5;2;1675070561081;12.650083
pool-1-thread-2;APPROXIMATION;12351;5;2;1675070561081;7.204541
pool-1-thread-8;HALTED;12345;5;3;1675070561083;10.85725
pool-1-thread-14;HALTED;12346;5;3;1675070561084;7.862792
pool-1-thread-6;HALTED;12347;5;3;1675070561084;7.374875
pool-1-thread-18;HALTED;12349;5;3;1675070561088;7.645875
pool-1-thread-17;HALTED;12350;5;3;1675070561088;7.903291
pool-1-thread-17;HALTED;12351;5;3;1675070561089;6.894541
pool-1-thread-16;HALTED;12352;5;3;1675070561089;7.720333
pool-1-thread-23;INITIALIZATION;12345;6;0;1675070561195;111.93025
pool-1-thread-26;INITIALIZATION;12346;6;0;1675070561204;119.7575
pool-1-thread-25;INITIALIZATION;12347;6;0;1675070561204;119.204417
pool-1-thread-32;INITIALIZATION;12350;6;0;1675070561206;117.433583
pool-1-thread-32;INITIALIZATION;12351;6;0;1675070561206;117.079417
pool-1-thread-3;INITIALIZATION;12349;6;0;1675070561206;118.620584
pool-1-thread-5;INITIALIZATION;12352;6;0;1675070561210;120.434875
pool-1-thread-4;APPROXIMATION;12345;6;1;1675070561210;14.915166
pool-1-thread-7;APPROXIMATION;12346;6;1;1675070561211;7.161459
pool-1-thread-8;APPROXIMATION;12347;6;1;1675070561212;7.685084
pool-1-thread-12;APPROXIMATION;12349;6;1;1675070561217;9.873334
pool-1-thread-13;APPROXIMATION;12352;6;1;1675070561218;7.790417
