tid;type;receiverPort;reqIdInternal;Round;startWalltime;duration
pool-15-thread-1;INITIALIZATION;-1;0;0;1675070559604;12.526208
pool-15-thread-1;APPROXIMATION;-1;0;1;1675070559755;12.640334
pool-15-thread-1;APPROXIMATION;-1;0;2;1675070559920;15.402833
pool-15-thread-1;HALTED;-1;0;3;1675070559937;11.775583
pool-15-thread-1;INITIALIZATION;-1;1;0;1675070560056;10.59525
pool-15-thread-1;APPROXIMATION;-1;1;1;1675070560066;11.28225
pool-15-thread-1;APPROXIMATION;-1;1;2;1675070560078;9.091459
pool-15-thread-1;HALTED;-1;1;3;1675070560087;13.072708
pool-15-thread-1;INITIALIZATION;-1;2;0;1675070560224;72.442083
pool-15-thread-1;APPROXIMATION;-1;2;1;1675070560309;19.311042
pool-15-thread-1;APPROXIMATION;-1;2;2;1675070560340;9.409541
pool-15-thread-1;HALTED;-1;2;3;1675070560351;7.799542
pool-15-thread-1;INITIALIZATION;-1;3;0;1675070560472;68.015166
pool-15-thread-1;APPROXIMATION;-1;3;1;1675070560567;30.697292
pool-15-thread-1;APPROXIMATION;-1;3;2;1675070560601;12.871292
pool-15-thread-1;HALTED;-1;3;3;1675070560617;6.472959
pool-15-thread-1;INITIALIZATION;-1;4;0;1675070560741;67.42825
pool-15-thread-1;APPROXIMATION;-1;4;1;1675070560819;10.497708
pool-15-thread-1;APPROXIMATION;-1;4;2;1675070560832;8.149375
pool-15-thread-1;HALTED;-1;4;3;1675070560840;6.314125
pool-15-thread-1;INITIALIZATION;-1;5;0;1675070560959;42.547834
pool-15-thread-1;APPROXIMATION;-1;5;1;1675070561011;57.979208
pool-15-thread-1;APPROXIMATION;-1;5;2;1675070561075;6.480083
pool-15-thread-1;HALTED;-1;5;3;1675070561082;6.946084
pool-15-thread-1;INITIALIZATION;-1;6;0;1675070561198;9.877625
pool-15-thread-1;APPROXIMATION;-1;6;1;1675070561210;11.508375
pool-15-thread-1;APPROXIMATION;-1;6;2;1675070561222;13.307
pool-15-thread-1;HALTED;-1;6;3;1675070561236;7.530541
pool-15-thread-1;INITIALIZATION;-1;7;0;1675070561366;51.264458
pool-15-thread-1;APPROXIMATION;-1;7;1;1675070561426;27.287959
pool-15-thread-1;APPROXIMATION;-1;7;2;1675070561455;8.241541
pool-15-thread-1;HALTED;-1;7;3;1675070561463;5.728791
pool-15-thread-1;INITIALIZATION;-1;8;0;1675070561575;15.208709
pool-15-thread-1;APPROXIMATION;-1;8;1;1675070561592;5.324167
pool-15-thread-1;APPROXIMATION;-1;8;2;1675070561598;4.421166
pool-15-thread-1;HALTED;-1;8;3;1675070561603;4.126083
pool-15-thread-1;INITIALIZATION;-1;9;0;1675070561758;66.144875
pool-15-thread-1;APPROXIMATION;-1;9;1;1675070561828;6.473375
pool-15-thread-1;APPROXIMATION;-1;9;2;1675070561835;4.459875
pool-15-thread-1;HALTED;-1;9;3;1675070561840;3.6865
pool-15-thread-1;INITIALIZATION;-1;10;0;1675070561962;10.81
pool-15-thread-1;APPROXIMATION;-1;10;1;1675070561975;10.326708
pool-15-thread-1;APPROXIMATION;-1;10;2;1675070561987;5.115084
pool-15-thread-1;HALTED;-1;10;3;1675070561992;3.616834
pool-15-thread-1;INITIALIZATION;-1;11;0;1675070562126;44.433
pool-15-thread-1;APPROXIMATION;-1;11;1;1675070562178;22.472583
pool-15-thread-1;APPROXIMATION;-1;11;2;1675070562201;6.726709
pool-15-thread-1;HALTED;-1;11;3;1675070562210;6.845125
pool-15-thread-1;INITIALIZATION;-1;12;0;1675070562319;6.656792
pool-15-thread-1;APPROXIMATION;-1;12;1;1675070562327;4.502917
pool-15-thread-1;APPROXIMATION;-1;12;2;1675070562333;4.44525
pool-15-thread-1;HALTED;-1;12;3;1675070562338;4.259625
pool-15-thread-1;INITIALIZATION;-1;13;0;1675070562450;20.276208
pool-15-thread-1;APPROXIMATION;-1;13;1;1675070562473;22.454542
pool-15-thread-1;APPROXIMATION;-1;13;2;1675070562496;15.787041
pool-15-thread-1;HALTED;-1;13;3;1675070562512;9.378708
pool-15-thread-1;INITIALIZATION;-1;14;0;1675070562632;16.0315
pool-15-thread-1;APPROXIMATION;-1;14;1;1675070562651;12.827292
pool-15-thread-1;APPROXIMATION;-1;14;2;1675070562668;11.957417
pool-15-thread-1;HALTED;-1;14;3;1675070562680;15.530417
pool-15-thread-1;INITIALIZATION;-1;15;0;1675070562806;21.583708
pool-15-thread-1;APPROXIMATION;-1;15;1;1675070562830;8.649333
pool-15-thread-1;APPROXIMATION;-1;15;2;1675070562839;6.959041
pool-15-thread-1;HALTED;-1;15;3;1675070562847;6.8845
pool-15-thread-1;INITIALIZATION;-1;16;0;1675070562966;20.014917
pool-15-thread-1;APPROXIMATION;-1;16;1;1675070562990;17.235125
pool-15-thread-1;APPROXIMATION;-1;16;2;1675070563012;17.868792
pool-15-thread-1;HALTED;-1;16;3;1675070563031;12.488708
pool-15-thread-1;INITIALIZATION;-1;17;0;1675070563172;28.597125
pool-15-thread-1;APPROXIMATION;-1;17;1;1675070563207;10.366375
pool-15-thread-1;APPROXIMATION;-1;17;2;1675070563218;6.770709
pool-15-thread-1;HALTED;-1;17;3;1675070563227;9.076208
pool-15-thread-1;INITIALIZATION;-1;18;0;1675070563345;19.864916
pool-15-thread-1;APPROXIMATION;-1;18;1;1675070563366;4.722875
pool-15-thread-1;APPROXIMATION;-1;18;2;1675070563380;10.756667
pool-15-thread-1;HALTED;-1;18;3;1675070563393;5.538625
pool-15-thread-1;INITIALIZATION;-1;19;0;1675070563536;44.533167
pool-15-thread-1;APPROXIMATION;-1;19;1;1675070563581;7.532
pool-15-thread-1;APPROXIMATION;-1;19;2;1675070563590;5.618917
pool-15-thread-1;HALTED;-1;19;3;1675070563597;6.165333
pool-15-thread-1;INITIALIZATION;-1;20;0;1675070563711;22.832875
pool-15-thread-1;APPROXIMATION;-1;20;1;1675070563734;14.545167
pool-15-thread-1;APPROXIMATION;-1;20;2;1675070563751;15.758917
pool-15-thread-1;HALTED;-1;20;3;1675070563772;12.051583
pool-15-thread-1;INITIALIZATION;-1;21;0;1675070563897;18.656583
pool-15-thread-1;APPROXIMATION;-1;21;1;1675070563919;19.229708
pool-15-thread-1;APPROXIMATION;-1;21;2;1675070563940;16.007791
pool-15-thread-1;HALTED;-1;21;3;1675070563957;8.15925
pool-15-thread-1;INITIALIZATION;-1;22;0;1675070564072;6.200417
pool-15-thread-1;APPROXIMATION;-1;22;1;1675070564081;5.165708
pool-15-thread-1;APPROXIMATION;-1;22;2;1675070564089;6.982
pool-15-thread-1;HALTED;-1;22;3;1675070564096;4.219292
pool-15-thread-1;INITIALIZATION;-1;23;0;1675070564205;4.46475
pool-15-thread-1;APPROXIMATION;-1;23;1;1675070564211;9.4305
pool-15-thread-1;APPROXIMATION;-1;23;2;1675070564221;4.379
pool-15-thread-1;HALTED;-1;23;3;1675070564226;3.812958
pool-15-thread-1;INITIALIZATION;-1;24;0;1675070564339;9.829541
pool-15-thread-1;APPROXIMATION;-1;24;1;1675070564351;12.146084
pool-15-thread-1;APPROXIMATION;-1;24;2;1675070564364;14.811958
pool-15-thread-1;HALTED;-1;24;3;1675070564382;15.1535
pool-15-thread-1;INITIALIZATION;-1;25;0;1675070564506;23.436833
pool-15-thread-1;APPROXIMATION;-1;25;1;1675070564534;19.628625
pool-15-thread-1;APPROXIMATION;-1;25;2;1675070564556;26.894
pool-15-thread-1;HALTED;-1;25;3;1675070564583;10.050375
pool-15-thread-1;INITIALIZATION;-1;26;0;1675070564697;8.094042
pool-15-thread-1;APPROXIMATION;-1;26;1;1675070564707;5.775709
pool-15-thread-1;APPROXIMATION;-1;26;2;1675070564713;5.19775
pool-15-thread-1;HALTED;-1;26;3;1675070564719;3.579458
pool-15-thread-1;INITIALIZATION;-1;27;0;1675070564829;2.923042
pool-15-thread-1;APPROXIMATION;-1;27;1;1675070564833;3.675375
pool-15-thread-1;APPROXIMATION;-1;27;2;1675070564837;6.170792
pool-15-thread-1;HALTED;-1;27;3;1675070564844;9.851167
pool-15-thread-1;INITIALIZATION;-1;28;0;1675070564960;11.457166
pool-15-thread-1;APPROXIMATION;-1;28;1;1675070564974;5.482375
pool-15-thread-1;APPROXIMATION;-1;28;2;1675070564979;4.285167
pool-15-thread-1;HALTED;-1;28;3;1675070564985;3.550792
pool-15-thread-1;INITIALIZATION;-1;29;0;1675070565126;53.39275
pool-15-thread-1;APPROXIMATION;-1;29;1;1675070565186;24.920083
pool-15-thread-1;APPROXIMATION;-1;29;2;1675070565213;5.148916
pool-15-thread-1;HALTED;-1;29;3;1675070565218;4.371792
pool-15-thread-1;INITIALIZATION;-1;30;0;1675070565330;2.308667
pool-15-thread-1;APPROXIMATION;-1;30;1;1675070565334;3.0735
pool-15-thread-1;APPROXIMATION;-1;30;2;1675070565337;3.148875
pool-15-thread-1;HALTED;-1;30;3;1675070565341;3.194
pool-15-thread-1;INITIALIZATION;-1;31;0;1675070565452;6.259834
pool-15-thread-1;APPROXIMATION;-1;31;1;1675070565464;6.512833
pool-15-thread-1;APPROXIMATION;-1;31;2;1675070565471;4.143958
pool-15-thread-1;HALTED;-1;31;3;1675070565476;4.537333
pool-15-thread-1;INITIALIZATION;-1;32;0;1675070565591;19.328792
pool-15-thread-1;APPROXIMATION;-1;32;1;1675070565612;18.162209
pool-15-thread-1;APPROXIMATION;-1;32;2;1675070565631;80.377916
pool-15-thread-1;HALTED;-1;32;3;1675070565711;4.183708
pool-15-thread-1;INITIALIZATION;-1;33;0;1675070565817;5.11525
pool-15-thread-1;APPROXIMATION;-1;33;1;1675070565823;3.8515
pool-15-thread-1;APPROXIMATION;-1;33;2;1675070565828;3.450875
pool-15-thread-1;HALTED;-1;33;3;1675070565832;2.792042
pool-15-thread-1;INITIALIZATION;-1;34;0;1675070565941;5.127084
pool-15-thread-1;APPROXIMATION;-1;34;1;1675070565947;3.883542
pool-15-thread-1;APPROXIMATION;-1;34;2;1675070565952;4.410042
