type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694091633;0.493255
INITIALIZATION;12349;100;0;1672694091634;0.00652
INITIALIZATION;12347;100;0;1672694091634;0.004161
INITIALIZATION;12350;100;0;1672694091634;0.00309
INITIALIZATION;12348;100;0;1672694091634;0.00158
INITIALIZATION;12352;100;0;1672694091634;0.116941
APPROXIMATION;12345;100;1;1672694091634;0.00399
INITIALIZATION;12351;100;0;1672694091634;0.0019
APPROXIMATION;12347;100;1;1672694091635;0.00384
APPROXIMATION;12349;100;1;1672694091635;0.00226
APPROXIMATION;12352;100;1;1672694091635;0.00905
APPROXIMATION;12350;100;1;1672694091635;0.0037
APPROXIMATION;12348;100;1;1672694091635;0.00463
APPROXIMATION;12351;100;1;1672694091635;0.00326
APPROXIMATION;12345;100;2;1672694091636;0.01466
APPROXIMATION;12347;100;2;1672694091636;0.00462
APPROXIMATION;12348;100;2;1672694091636;0.00381
APPROXIMATION;12349;100;2;1672694091636;0.00227
APPROXIMATION;12351;100;2;1672694091636;0.0032
APPROXIMATION;12352;100;2;1672694091636;0.113761
APPROXIMATION;12350;100;2;1672694091636;0.00366
HALTED;12347;100;3;1672694091636;0.00299
HALTED;12345;100;3;1672694091636;0.00206
HALTED;12348;100;3;1672694091637;0.0071
HALTED;12349;100;3;1672694091637;0.00243
HALTED;12352;100;3;1672694091637;0.002
HALTED;12351;100;3;1672694091637;0.00368
HALTED;12350;100;3;1672694091637;0.00305
INITIALIZATION;12345;101;0;1672694091738;0.448844
INITIALIZATION;12349;101;0;1672694091739;0.01087
INITIALIZATION;12347;101;0;1672694091739;0.00223
INITIALIZATION;12351;101;0;1672694091739;0.00215
INITIALIZATION;12350;101;0;1672694091739;0.00262
INITIALIZATION;12352;101;0;1672694091739;0.076231
APPROXIMATION;12345;101;1;1672694091739;0.00378
INITIALIZATION;12348;101;0;1672694091739;0.00147
APPROXIMATION;12347;101;1;1672694091740;0.00587
APPROXIMATION;12351;101;1;1672694091740;0.00342
APPROXIMATION;12348;101;1;1672694091740;0.00328
APPROXIMATION;12349;101;1;1672694091740;0.00201
APPROXIMATION;12345;101;2;1672694091740;0.006791
APPROXIMATION;12350;101;1;1672694091740;0.07585
APPROXIMATION;12352;101;1;1672694091740;0.00201
APPROXIMATION;12347;101;2;1672694091741;0.00182
APPROXIMATION;12348;101;2;1672694091741;0.00172
APPROXIMATION;12349;101;2;1672694091741;0.0023
APPROXIMATION;12350;101;2;1672694091741;0.00158
