type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694091589;43.539772
INITIALIZATION;12349;100;0;1672694091634;0.214752
INITIALIZATION;12346;100;0;1672694091634;0.09267
INITIALIZATION;12347;100;0;1672694091634;0.07978
INITIALIZATION;12348;100;0;1672694091634;0.176662
INITIALIZATION;12352;100;0;1672694091634;0.299943
APPROXIMATION;12345;100;1;1672694091635;0.012661
APPROXIMATION;12346;100;1;1672694091635;0.434124
APPROXIMATION;12348;100;1;1672694091635;0.03625
APPROXIMATION;12349;100;1;1672694091635;0.00696
APPROXIMATION;12347;100;1;1672694091635;0.005241
INITIALIZATION;12351;100;0;1672694091635;0.00294
APPROXIMATION;12352;100;1;1672694091635;0.356323
APPROXIMATION;12346;100;2;1672694091636;0.00697
APPROXIMATION;12347;100;2;1672694091636;0.092041
APPROXIMATION;12345;100;2;1672694091636;0.00659
APPROXIMATION;12351;100;1;1672694091636;0.222152
APPROXIMATION;12349;100;2;1672694091636;0.024481
APPROXIMATION;12348;100;2;1672694091636;0.00488
APPROXIMATION;12352;100;2;1672694091636;0.289862
HALTED;12346;100;3;1672694091637;0.153901
HALTED;12347;100;3;1672694091637;0.01087
HALTED;12345;100;3;1672694091637;0.107571
HALTED;12349;100;3;1672694091637;0.134821
HALTED;12352;100;3;1672694091637;0.01473
APPROXIMATION;12351;100;2;1672694091637;0.00661
HALTED;12348;100;3;1672694091637;0.00355
HALTED;12351;100;3;1672694091637;0.473014
INITIALIZATION;12345;101;0;1672694091638;100.445922
INITIALIZATION;12346;101;0;1672694091739;0.142581
INITIALIZATION;12349;101;0;1672694091739;0.00914
INITIALIZATION;12347;101;0;1672694091739;0.07979
INITIALIZATION;12352;101;0;1672694091739;0.236123
INITIALIZATION;12348;101;0;1672694091739;0.120661
APPROXIMATION;12345;101;1;1672694091739;0.760657
APPROXIMATION;12348;101;1;1672694091740;0.083851
APPROXIMATION;12351;101;1;1672694091740;0.00868
APPROXIMATION;12347;101;1;1672694091740;0.0037
APPROXIMATION;12346;101;1;1672694091740;0.00439
INITIALIZATION;12351;101;0;1672694091740;0.00352
APPROXIMATION;12349;101;1;1672694091740;0.055771
APPROXIMATION;12345;101;2;1672694091740;0.05015
APPROXIMATION;12347;101;2;1672694091740;0.327523
APPROXIMATION;12346;101;2;1672694091741;0.072891
APPROXIMATION;12352;101;1;1672694091741;0.067501
APPROXIMATION;12348;101;2;1672694091741;0.354163
HALTED;12345;101;3;1672694091741;0.02755
APPROXIMATION;12349;101;2;1672694091741;0.00514
HALTED;12346;101;3;1672694091741;0.08541
APPROXIMATION;12351;101;2;1672694091741;0.010341
HALTED;12347;101;3;1672694091741;0.034861
APPROXIMATION;12352;101;2;1672694091742;0.06715
HALTED;12348;101;3;1672694091742;0.233252
HALTED;12349;101;3;1672694091742;0.00801
HALTED;12351;101;3;1672694091742;0.04117
APPROXIMATION;12352;101;3;1672694091742;0.127751
HALTED;12352;101;4;1672694091742;47.295336
INITIALIZATION;12345;102;0;1672694091789;52.829524
INITIALIZATION;12346;102;0;1672694091843;0.175591
INITIALIZATION;12349;102;0;1672694091843;0.253882
INITIALIZATION;12347;102;0;1672694091843;0.08562
INITIALIZATION;12348;102;0;1672694091843;0.104501
INITIALIZATION;12352;102;0;1672694091843;0.06774
INITIALIZATION;12351;102;0;1672694091843;0.093451
APPROXIMATION;12345;102;1;1672694091844;0.052181
APPROXIMATION;12346;102;1;1672694091844;0.095331
APPROXIMATION;12347;102;1;1672694091844;0.229462
APPROXIMATION;12349;102;1;1672694091844;0.07077
APPROXIMATION;12348;102;1;1672694091844;0.111991
APPROXIMATION;12352;102;1;1672694091844;0.00924
APPROXIMATION;12351;102;1;1672694091844;0.160581
APPROXIMATION;12345;102;2;1672694091844;0.035851
