type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694091633;0.021851
INITIALIZATION;12349;100;0;1672694091634;0.01215
INITIALIZATION;12347;100;0;1672694091634;0.00946
INITIALIZATION;12346;100;0;1672694091634;0.06266
INITIALIZATION;12350;100;0;1672694091634;0.0159
INITIALIZATION;12348;100;0;1672694091634;0.01584
INITIALIZATION;12351;100;0;1672694091635;0.008
APPROXIMATION;12345;100;1;1672694091635;0.01562
APPROXIMATION;12347;100;1;1672694091635;0.00967
APPROXIMATION;12346;100;1;1672694091635;0.01742
APPROXIMATION;12349;100;1;1672694091635;0.01382
APPROXIMATION;12348;100;1;1672694091636;0.01389
APPROXIMATION;12351;100;1;1672694091636;0.01451
APPROXIMATION;12345;100;2;1672694091636;0.01002
APPROXIMATION;12350;100;1;1672694091636;0.0089
APPROXIMATION;12346;100;2;1672694091636;0.00864
APPROXIMATION;12347;100;2;1672694091636;0.00452
APPROXIMATION;12349;100;2;1672694091636;0.02039
APPROXIMATION;12348;100;2;1672694091636;0.008821
APPROXIMATION;12351;100;2;1672694091636;0.01415
HALTED;12346;100;3;1672694091637;0.014331
HALTED;12347;100;3;1672694091637;0.017951
APPROXIMATION;12350;100;2;1672694091637;0.01605
HALTED;12348;100;3;1672694091637;0.02156
HALTED;12345;100;3;1672694091637;0.03243
HALTED;12349;100;3;1672694091637;0.00527
HALTED;12351;100;3;1672694091637;0.00714
HALTED;12350;100;3;1672694091638;0.0144
INITIALIZATION;12345;101;0;1672694091738;0.00956
INITIALIZATION;12349;101;0;1672694091739;0.00914
INITIALIZATION;12346;101;0;1672694091739;0.02017
INITIALIZATION;12347;101;0;1672694091739;0.00868
INITIALIZATION;12351;101;0;1672694091739;0.010401
INITIALIZATION;12348;101;0;1672694091739;0.695816
INITIALIZATION;12350;101;0;1672694091739;0.697626
APPROXIMATION;12345;101;1;1672694091740;0.405393
APPROXIMATION;12346;101;1;1672694091740;0.321913
APPROXIMATION;12347;101;1;1672694091740;0.101601
APPROXIMATION;12351;101;1;1672694091740;0.005641
APPROXIMATION;12348;101;1;1672694091740;0.00666
APPROXIMATION;12350;101;1;1672694091740;0.00541
APPROXIMATION;12349;101;1;1672694091740;0.188991
APPROXIMATION;12345;101;2;1672694091740;0.165132
APPROXIMATION;12347;101;2;1672694091741;0.00922
APPROXIMATION;12346;101;2;1672694091741;0.00927
APPROXIMATION;12349;101;2;1672694091741;0.0101
APPROXIMATION;12348;101;2;1672694091741;0.211282
APPROXIMATION;12351;101;2;1672694091741;0.170142
APPROXIMATION;12350;101;2;1672694091741;0.164912
HALTED;12345;101;3;1672694091741;0.02717
HALTED;12346;101;3;1672694091741;0.0095
HALTED;12347;101;3;1672694091742;0.01011
HALTED;12348;101;3;1672694091742;0.01088
HALTED;12349;101;3;1672694091742;0.00934
HALTED;12351;101;3;1672694091742;0.01055
HALTED;12350;101;3;1672694091742;0.00869
INITIALIZATION;12345;102;0;1672694091842;0.00938
INITIALIZATION;12346;102;0;1672694091843;0.01101
INITIALIZATION;12347;102;0;1672694091843;0.00894
INITIALIZATION;12349;102;0;1672694091843;0.01392
INITIALIZATION;12348;102;0;1672694091843;0.008241
INITIALIZATION;12350;102;0;1672694091843;0.00902
INITIALIZATION;12351;102;0;1672694091844;0.0039
APPROXIMATION;12345;102;1;1672694091844;0.00771
APPROXIMATION;12346;102;1;1672694091844;0.00918
APPROXIMATION;12347;102;1;1672694091844;0.06369
APPROXIMATION;12349;102;1;1672694091844;0.01001
APPROXIMATION;12348;102;1;1672694091844;0.008421
APPROXIMATION;12350;102;1;1672694091844;0.00976
APPROXIMATION;12351;102;1;1672694091844;0.003771
APPROXIMATION;12345;102;2;1672694091844;0.00835
APPROXIMATION;12346;102;2;1672694091845;0.00988
APPROXIMATION;12349;102;2;1672694091845;0.01223
APPROXIMATION;12347;102;2;1672694091845;0.050511
APPROXIMATION;12350;102;2;1672694091845;0.00804
APPROXIMATION;12351;102;2;1672694091845;0.05468
APPROXIMATION;12348;102;2;1672694091845;0.00359
APPROXIMATION;12345;102;3;1672694091845;0.0085
APPROXIMATION;12346;102;3;1672694091845;0.01031
APPROXIMATION;12347;102;3;1672694091845;0.00898
APPROXIMATION;12349;102;3;1672694091846;0.013461
APPROXIMATION;12350;102;3;1672694091846;0.00889
APPROXIMATION;12348;102;3;1672694091846;0.00888
APPROXIMATION;12351;102;3;1672694091846;0.02037
HALTED;12345;102;4;1672694091846;0.010201
HALTED;12346;102;4;1672694091846;0.00732
HALTED;12347;102;4;1672694091846;0.00966
HALTED;12349;102;4;1672694091846;0.007801
HALTED;12348;102;4;1672694091846;0.00819
HALTED;12351;102;4;1672694091846;0.00935
HALTED;12350;102;4;1672694091846;0.01967
INITIALIZATION;12345;103;0;1672694091947;0.00953
INITIALIZATION;12346;103;0;1672694091947;0.011931
INITIALIZATION;12347;103;0;1672694091948;0.01388
INITIALIZATION;12349;103;0;1672694091948;0.180782
INITIALIZATION;12348;103;0;1672694091948;0.01077
INITIALIZATION;12351;103;0;1672694091948;0.00901
APPROXIMATION;12345;103;1;1672694091948;0.00523
APPROXIMATION;12346;103;1;1672694091948;0.00705
APPROXIMATION;12347;103;1;1672694091948;0.00892
APPROXIMATION;12349;103;1;1672694091949;0.00951
APPROXIMATION;12348;103;1;1672694091949;0.00841
APPROXIMATION;12351;103;1;1672694091949;0.01681
APPROXIMATION;12345;103;2;1672694091949;0.0053
APPROXIMATION;12346;103;2;1672694091949;0.01139
APPROXIMATION;12347;103;2;1672694091949;0.03047
APPROXIMATION;12349;103;2;1672694091949;0.009611
APPROXIMATION;12348;103;2;1672694091949;0.00845
HALTED;12345;103;3;1672694091950;0.00894
APPROXIMATION;12351;103;2;1672694091950;0.00671
HALTED;12347;103;3;1672694091950;0.00986
INITIALIZATION;12350;103;0;1672694091950;0.02371
APPROXIMATION;12350;103;1;1672694091951;0.00854
APPROXIMATION;12350;103;2;1672694091951;0.00823
HALTED;12351;103;3;1672694091990;0.01218
HALTED;12349;103;3;1672694091990;0.00654
HALTED;12348;103;3;1672694091990;0.0038
HALTED;12346;103;3;1672694091990;0.00533
APPROXIMATION;12350;103;3;1672694091999;0.00761
HALTED;12350;103;4;1672694091999;0.00599
INITIALIZATION;12345;104;0;1672694092051;0.00871
INITIALIZATION;12346;104;0;1672694092051;0.01098
INITIALIZATION;12347;104;0;1672694092052;0.010421
INITIALIZATION;12349;104;0;1672694092052;0.00871
INITIALIZATION;12350;104;0;1672694092052;0.00793
INITIALIZATION;12348;104;0;1672694092052;0.01059
INITIALIZATION;12351;104;0;1672694092052;0.009971
APPROXIMATION;12345;104;1;1672694092052;0.00943
APPROXIMATION;12347;104;1;1672694092052;0.00813
APPROXIMATION;12346;104;1;1672694092052;0.010601
APPROXIMATION;12349;104;1;1672694092052;0.00984
APPROXIMATION;12351;104;1;1672694092053;0.00798
APPROXIMATION;12350;104;1;1672694092053;0.01465
APPROXIMATION;12348;104;1;1672694092053;0.02412
APPROXIMATION;12345;104;2;1672694092053;0.00826
APPROXIMATION;12346;104;2;1672694092053;0.009511
APPROXIMATION;12349;104;2;1672694092053;0.00817
APPROXIMATION;12347;104;2;1672694092053;0.00975
APPROXIMATION;12351;104;2;1672694092053;0.00823
APPROXIMATION;12350;104;2;1672694092053;0.01001
APPROXIMATION;12348;104;2;1672694092053;0.02553
APPROXIMATION;12345;104;3;1672694092053;0.00683
APPROXIMATION;12346;104;3;1672694092054;0.00868
APPROXIMATION;12349;104;3;1672694092054;0.00881
APPROXIMATION;12351;104;3;1672694092054;0.0069
APPROXIMATION;12347;104;3;1672694092054;0.00868
APPROXIMATION;12350;104;3;1672694092054;0.01121
APPROXIMATION;12348;104;3;1672694092054;0.00729
APPROXIMATION;12345;104;4;1672694092054;0.00528
APPROXIMATION;12346;104;4;1672694092054;0.00485
APPROXIMATION;12349;104;4;1672694092054;0.00981
APPROXIMATION;12351;104;4;1672694092054;0.00918
APPROXIMATION;12347;104;4;1672694092054;0.01563
APPROXIMATION;12350;104;4;1672694092054;0.008531
APPROXIMATION;12348;104;4;1672694092055;0.01002
HALTED;12345;104;5;1672694092055;0.01164
HALTED;12346;104;5;1672694092055;0.00518
HALTED;12351;104;5;1672694092055;0.01039
HALTED;12349;104;5;1672694092055;0.00911
HALTED;12350;104;5;1672694092055;0.008841
HALTED;12347;104;5;1672694092055;0.00677
HALTED;12348;104;5;1672694092055;0.00926
INITIALIZATION;12345;105;0;1672694092156;0.00996
INITIALIZATION;12346;105;0;1672694092156;0.01126
INITIALIZATION;12347;105;0;1672694092157;0.01156
INITIALIZATION;12348;105;0;1672694092157;0.169712
INITIALIZATION;12351;105;0;1672694092157;0.008361
INITIALIZATION;12349;105;0;1672694092157;0.00971
INITIALIZATION;12350;105;0;1672694092157;0.00734
APPROXIMATION;12345;105;1;1672694092157;0.0089
APPROXIMATION;12346;105;1;1672694092157;0.00541
APPROXIMATION;12347;105;1;1672694092157;0.00884
APPROXIMATION;12348;105;1;1672694092157;0.01092
APPROXIMATION;12349;105;1;1672694092158;0.0085
APPROXIMATION;12350;105;1;1672694092158;0.00905
APPROXIMATION;12351;105;1;1672694092158;0.00936
APPROXIMATION;12345;105;2;1672694092158;0.00991
APPROXIMATION;12346;105;2;1672694092158;0.00655
APPROXIMATION;12347;105;2;1672694092158;0.00848
APPROXIMATION;12349;105;2;1672694092158;0.00974
APPROXIMATION;12350;105;2;1672694092158;0.00873
APPROXIMATION;12351;105;2;1672694092158;0.01735
APPROXIMATION;12348;105;2;1672694092158;0.009241
APPROXIMATION;12345;105;3;1672694092158;0.00553
APPROXIMATION;12346;105;3;1672694092158;0.04498
APPROXIMATION;12347;105;3;1672694092159;0.01093
APPROXIMATION;12349;105;3;1672694092159;0.00986
APPROXIMATION;12350;105;3;1672694092159;0.00875
APPROXIMATION;12351;105;3;1672694092159;0.00829
HALTED;12345;105;4;1672694092159;0.01118
HALTED;12346;105;4;1672694092159;0.00818
