type;receiverPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;-1;100;0;1672694725186;0.791747
APPROXIMATION;-1;100;1;1672694725187;0.514895
APPROXIMATION;-1;100;2;1672694725187;0.428264
APPROXIMATION;-1;100;3;1672694725188;0.375034
APPROXIMATION;-1;100;4;1672694725189;0.411064
APPROXIMATION;-1;100;5;1672694725189;0.404884
APPROXIMATION;-1;100;6;1672694725192;0.387533
APPROXIMATION;-1;100;7;1672694725193;0.366603
APPROXIMATION;-1;100;8;1672694725194;0.346363
APPROXIMATION;-1;100;9;1672694725194;0.396464
APPROXIMATION;-1;100;10;1672694725195;0.345063
APPROXIMATION;-1;100;11;1672694725195;0.370413
APPROXIMATION;-1;100;12;1672694725196;0.327403
APPROXIMATION;-1;100;13;1672694725197;0.368393
HALTED;-1;100;14;1672694725197;0.334973
INITIALIZATION;-1;101;0;1672694725300;0.528514
APPROXIMATION;-1;101;1;1672694725301;0.520005
APPROXIMATION;-1;101;2;1672694725302;0.510125
APPROXIMATION;-1;101;3;1672694725302;0.387644
APPROXIMATION;-1;101;4;1672694725350;0.467234
APPROXIMATION;-1;101;5;1672694725350;0.457354
APPROXIMATION;-1;101;6;1672694725351;0.426853
APPROXIMATION;-1;101;7;1672694725351;0.406984
APPROXIMATION;-1;101;8;1672694725400;0.453554
APPROXIMATION;-1;101;9;1672694725400;0.619185
APPROXIMATION;-1;101;10;1672694725401;0.427864
APPROXIMATION;-1;101;11;1672694725402;0.465444
APPROXIMATION;-1;101;12;1672694725402;0.349323
APPROXIMATION;-1;101;13;1672694725403;0.384454
HALTED;-1;101;14;1672694725403;0.334223
INITIALIZATION;-1;102;0;1672694725505;0.450364
APPROXIMATION;-1;102;1;1672694725506;0.477244
APPROXIMATION;-1;102;2;1672694725507;0.462974
APPROXIMATION;-1;102;3;1672694725549;0.463804
APPROXIMATION;-1;102;4;1672694725550;0.658356
APPROXIMATION;-1;102;5;1672694725551;0.302653
APPROXIMATION;-1;102;6;1672694725551;0.431044
APPROXIMATION;-1;102;7;1672694725552;0.324373
APPROXIMATION;-1;102;8;1672694725552;0.298203
APPROXIMATION;-1;102;9;1672694725553;0.279503
APPROXIMATION;-1;102;10;1672694725554;0.286462
APPROXIMATION;-1;102;11;1672694725554;0.273023
APPROXIMATION;-1;102;12;1672694725555;0.298192
APPROXIMATION;-1;102;13;1672694725555;0.289232
HALTED;-1;102;14;1672694725556;0.277832
INITIALIZATION;-1;103;0;1672694725658;0.593495
APPROXIMATION;-1;103;1;1672694725659;0.451104
APPROXIMATION;-1;103;2;1672694725659;0.336163
APPROXIMATION;-1;103;3;1672694725660;0.415684
APPROXIMATION;-1;103;4;1672694725660;0.290293
APPROXIMATION;-1;103;5;1672694725661;0.305903
APPROXIMATION;-1;103;6;1672694725661;0.305423
APPROXIMATION;-1;103;7;1672694725662;0.299713
APPROXIMATION;-1;103;8;1672694725662;0.261383
APPROXIMATION;-1;103;9;1672694725662;0.275813
APPROXIMATION;-1;103;10;1672694725663;0.259313
APPROXIMATION;-1;103;11;1672694725663;0.261002
APPROXIMATION;-1;103;12;1672694725664;0.275042
APPROXIMATION;-1;103;13;1672694725664;0.282422
HALTED;-1;103;14;1672694725665;0.282472
INITIALIZATION;-1;104;0;1672694725767;0.602045
APPROXIMATION;-1;104;1;1672694725768;0.507855
APPROXIMATION;-1;104;2;1672694725768;0.447854
APPROXIMATION;-1;104;3;1672694725769;0.384114
APPROXIMATION;-1;104;4;1672694725810;0.422364
APPROXIMATION;-1;104;5;1672694725810;0.502184
APPROXIMATION;-1;104;6;1672694725811;0.420134
APPROXIMATION;-1;104;7;1672694725812;0.428864
APPROXIMATION;-1;104;8;1672694725812;0.398894
APPROXIMATION;-1;104;9;1672694725813;0.438114
APPROXIMATION;-1;104;10;1672694725813;0.646366
APPROXIMATION;-1;104;11;1672694725814;0.385794
APPROXIMATION;-1;104;12;1672694725814;0.344323
APPROXIMATION;-1;104;13;1672694725815;0.393624
HALTED;-1;104;14;1672694725815;0.357623
INITIALIZATION;-1;105;0;1672694725918;1.027429
APPROXIMATION;-1;105;1;1672694725919;0.415494
APPROXIMATION;-1;105;2;1672694725919;0.294653
APPROXIMATION;-1;105;3;1672694725920;0.313183
APPROXIMATION;-1;105;4;1672694725921;0.342103
APPROXIMATION;-1;105;5;1672694725921;0.311973
APPROXIMATION;-1;105;6;1672694725922;0.401743
APPROXIMATION;-1;105;7;1672694725922;0.306193
APPROXIMATION;-1;105;8;1672694725923;0.298882
APPROXIMATION;-1;105;9;1672694725923;0.386144
APPROXIMATION;-1;105;10;1672694725924;0.461574
APPROXIMATION;-1;105;11;1672694725925;0.272692
APPROXIMATION;-1;105;12;1672694725925;0.305183
APPROXIMATION;-1;105;13;1672694725926;0.469064
HALTED;-1;105;14;1672694725926;0.385603
INITIALIZATION;-1;106;0;1672694726028;0.571195
APPROXIMATION;-1;106;1;1672694726029;0.512655
APPROXIMATION;-1;106;2;1672694726030;0.566445
APPROXIMATION;-1;106;3;1672694726069;0.430164
APPROXIMATION;-1;106;4;1672694726080;0.512135
APPROXIMATION;-1;106;5;1672694726081;0.487795
APPROXIMATION;-1;106;6;1672694726081;0.431624
APPROXIMATION;-1;106;7;1672694726082;0.382984
APPROXIMATION;-1;106;8;1672694726082;0.357383
APPROXIMATION;-1;106;9;1672694726083;0.393644
APPROXIMATION;-1;106;10;1672694726083;0.388603
APPROXIMATION;-1;106;11;1672694726084;0.394804
APPROXIMATION;-1;106;12;1672694726084;0.403383
APPROXIMATION;-1;106;13;1672694726084;0.458994
HALTED;-1;106;14;1672694726085;0.425894
INITIALIZATION;-1;107;0;1672694726187;0.452274
APPROXIMATION;-1;107;1;1672694726218;0.419094
