type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694725185;0.02019
INITIALIZATION;12348;100;0;1672694725186;0.018841
INITIALIZATION;12346;100;0;1672694725186;0.01241
INITIALIZATION;12351;100;0;1672694725186;0.026601
INITIALIZATION;12347;100;0;1672694725187;0.01602
INITIALIZATION;12352;100;0;1672694725187;0.021621
INITIALIZATION;12350;100;0;1672694725187;0.01144
APPROXIMATION;12348;100;1;1672694725187;0.013631
APPROXIMATION;12345;100;1;1672694725187;0.031561
APPROXIMATION;12346;100;1;1672694725187;0.00724
APPROXIMATION;12352;100;1;1672694725187;0.01279
APPROXIMATION;12347;100;1;1672694725187;0.01347
APPROXIMATION;12351;100;1;1672694725187;0.01135
APPROXIMATION;12350;100;1;1672694725187;0.00494
APPROXIMATION;12348;100;2;1672694725188;0.011971
APPROXIMATION;12346;100;2;1672694725188;0.0147
APPROXIMATION;12347;100;2;1672694725188;0.011061
APPROXIMATION;12345;100;2;1672694725188;0.01695
APPROXIMATION;12352;100;2;1672694725188;0.01613
APPROXIMATION;12351;100;2;1672694725188;0.038571
APPROXIMATION;12350;100;2;1672694725188;0.01406
APPROXIMATION;12348;100;3;1672694725188;0.01268
APPROXIMATION;12346;100;3;1672694725189;0.028021
APPROXIMATION;12347;100;3;1672694725189;0.01422
APPROXIMATION;12345;100;3;1672694725189;0.01227
APPROXIMATION;12351;100;3;1672694725189;0.00916
APPROXIMATION;12352;100;3;1672694725189;0.01158
APPROXIMATION;12350;100;3;1672694725189;0.033881
APPROXIMATION;12346;100;4;1672694725189;0.01272
APPROXIMATION;12348;100;4;1672694725189;0.023841
APPROXIMATION;12347;100;4;1672694725189;0.01338
APPROXIMATION;12352;100;4;1672694725189;0.01456
APPROXIMATION;12350;100;4;1672694725189;0.035271
APPROXIMATION;12351;100;4;1672694725189;0.0895
APPROXIMATION;12345;100;4;1672694725190;0.0117
APPROXIMATION;12348;100;5;1672694725191;0.01378
APPROXIMATION;12346;100;5;1672694725191;0.01686
APPROXIMATION;12347;100;5;1672694725191;0.01163
APPROXIMATION;12350;100;5;1672694725191;0.01581
APPROXIMATION;12351;100;5;1672694725191;0.005
APPROXIMATION;12352;100;5;1672694725191;0.00636
APPROXIMATION;12345;100;5;1672694725192;0.01391
APPROXIMATION;12348;100;6;1672694725192;0.01425
APPROXIMATION;12346;100;6;1672694725192;0.01166
APPROXIMATION;12347;100;6;1672694725193;0.0108
APPROXIMATION;12351;100;6;1672694725193;0.01006
