type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12346;100;0;1672694429868;0.02602
INITIALIZATION;12347;100;0;1672694429868;0.025081
INITIALIZATION;12351;100;0;1672694429868;0.019201
INITIALIZATION;12348;100;0;1672694429868;0.03429
INITIALIZATION;12350;100;0;1672694429868;0.024441
INITIALIZATION;12352;100;0;1672694429868;0.014611
INITIALIZATION;12349;100;0;1672694429868;0.02541
APPROXIMATION;12346;100;1;1672694429869;0.03232
APPROXIMATION;12347;100;1;1672694429869;0.0099
APPROXIMATION;12350;100;1;1672694429869;0.01429
APPROXIMATION;12351;100;1;1672694429869;0.05009
APPROXIMATION;12349;100;1;1672694429869;0.02938
APPROXIMATION;12348;100;1;1672694429869;0.00757
APPROXIMATION;12352;100;1;1672694429870;0.02363
APPROXIMATION;12346;100;2;1672694429870;0.01384
APPROXIMATION;12348;100;2;1672694429871;0.02687
APPROXIMATION;12349;100;2;1672694429871;0.01883
APPROXIMATION;12350;100;2;1672694429871;0.01365
APPROXIMATION;12347;100;2;1672694429871;0.275672
APPROXIMATION;12352;100;2;1672694429872;0.235932
APPROXIMATION;12351;100;2;1672694429909;0.01958
HALTED;12346;100;3;1672694429910;0.0148
HALTED;12348;100;3;1672694429910;0.01873
HALTED;12349;100;3;1672694429910;0.01695
HALTED;12350;100;3;1672694429910;0.0122
HALTED;12352;100;3;1672694429910;0.010451
HALTED;12347;100;3;1672694429920;0.01562
HALTED;12351;100;3;1672694429920;0.01482
INITIALIZATION;12347;101;0;1672694430012;0.01521
INITIALIZATION;12350;101;0;1672694430012;0.027861
INITIALIZATION;12348;101;0;1672694430012;0.01627
INITIALIZATION;12349;101;0;1672694430012;0.04411
INITIALIZATION;12351;101;0;1672694430012;0.01605
INITIALIZATION;12346;101;0;1672694430012;0.03021
INITIALIZATION;12352;101;0;1672694430012;0.01739
APPROXIMATION;12346;101;1;1672694430013;0.01139
APPROXIMATION;12347;101;1;1672694430013;0.0025
APPROXIMATION;12348;101;1;1672694430013;0.00923
APPROXIMATION;12352;101;1;1672694430013;0.01061
APPROXIMATION;12349;101;1;1672694430013;0.022851
APPROXIMATION;12351;101;1;1672694430013;0.00995
APPROXIMATION;12350;101;1;1672694430013;0.02688
APPROXIMATION;12346;101;2;1672694430013;0.020871
APPROXIMATION;12350;101;2;1672694430014;0.015
APPROXIMATION;12351;101;2;1672694430014;0.04627
APPROXIMATION;12347;101;2;1672694430014;0.03504
APPROXIMATION;12352;101;2;1672694430014;0.040951
HALTED;12351;101;3;1672694430014;0.01529
HALTED;12352;101;3;1672694430014;0.030601
HALTED;12346;101;3;1672694430059;0.01244
APPROXIMATION;12349;101;2;1672694430059;0.03148
APPROXIMATION;12348;101;2;1672694430059;0.00923
HALTED;12347;101;3;1672694430059;0.008411
HALTED;12350;101;3;1672694430059;0.008291
HALTED;12349;101;3;1672694430060;0.00651
HALTED;12348;101;3;1672694430060;0.0098
INITIALIZATION;12346;102;0;1672694430161;0.013411
INITIALIZATION;12347;102;0;1672694430162;0.01701
INITIALIZATION;12349;102;0;1672694430162;0.02039
INITIALIZATION;12350;102;0;1672694430162;0.01145
INITIALIZATION;12348;102;0;1672694430162;0.122831
INITIALIZATION;12351;102;0;1672694430162;0.224422
INITIALIZATION;12352;102;0;1672694430162;0.015391
APPROXIMATION;12346;102;1;1672694430163;0.01226
APPROXIMATION;12347;102;1;1672694430163;0.01057
APPROXIMATION;12348;102;1;1672694430163;0.01271
APPROXIMATION;12349;102;1;1672694430163;0.0179
APPROXIMATION;12350;102;1;1672694430163;0.01607
APPROXIMATION;12352;102;1;1672694430163;0.060131
APPROXIMATION;12351;102;1;1672694430164;0.04208
APPROXIMATION;12346;102;2;1672694430164;0.00973
APPROXIMATION;12347;102;2;1672694430164;0.01162
APPROXIMATION;12349;102;2;1672694430164;0.01561
APPROXIMATION;12348;102;2;1672694430164;0.05072
APPROXIMATION;12351;102;2;1672694430164;0.01297
APPROXIMATION;12350;102;2;1672694430164;0.217162
APPROXIMATION;12352;102;2;1672694430164;0.172991
HALTED;12346;102;3;1672694430165;0.01342
HALTED;12347;102;3;1672694430165;0.01278
HALTED;12348;102;3;1672694430165;0.01208
HALTED;12349;102;3;1672694430165;0.00945
HALTED;12350;102;3;1672694430165;0.01723
HALTED;12351;102;3;1672694430165;0.00682
HALTED;12352;102;3;1672694430165;0.01438
INITIALIZATION;12347;103;0;1672694430267;0.01679
INITIALIZATION;12349;103;0;1672694430267;0.07332
INITIALIZATION;12350;103;0;1672694430267;0.061371
INITIALIZATION;12346;103;0;1672694430267;0.00817
INITIALIZATION;12352;103;0;1672694430267;0.01762
INITIALIZATION;12348;103;0;1672694430267;0.056051
INITIALIZATION;12351;103;0;1672694430267;0.01698
APPROXIMATION;12346;103;1;1672694430268;0.01738
APPROXIMATION;12347;103;1;1672694430268;0.0196
APPROXIMATION;12348;103;1;1672694430268;0.03412
APPROXIMATION;12349;103;1;1672694430268;0.00856
APPROXIMATION;12351;103;1;1672694430268;0.0128
APPROXIMATION;12350;103;1;1672694430268;0.00319
APPROXIMATION;12352;103;1;1672694430268;0.014581
APPROXIMATION;12346;103;2;1672694430269;0.0113
APPROXIMATION;12347;103;2;1672694430269;0.01443
APPROXIMATION;12348;103;2;1672694430269;0.026841
APPROXIMATION;12350;103;2;1672694430269;0.01228
APPROXIMATION;12349;103;2;1672694430269;0.03441
APPROXIMATION;12352;103;2;1672694430269;0.01288
APPROXIMATION;12351;103;2;1672694430269;0.049531
HALTED;12346;103;3;1672694430270;0.01119
HALTED;12347;103;3;1672694430270;0.01353
HALTED;12348;103;3;1672694430270;0.013781
HALTED;12350;103;3;1672694430270;0.01519
HALTED;12352;103;3;1672694430270;0.01292
HALTED;12351;103;3;1672694430309;0.01208
HALTED;12349;103;3;1672694430310;0.010091
INITIALIZATION;12347;104;0;1672694430372;0.017901
INITIALIZATION;12346;104;0;1672694430372;0.04036
INITIALIZATION;12348;104;0;1672694430372;0.04091
INITIALIZATION;12349;104;0;1672694430372;0.01166
INITIALIZATION;12351;104;0;1672694430372;0.01382
INITIALIZATION;12352;104;0;1672694430372;0.013581
INITIALIZATION;12350;104;0;1672694430372;0.01301
APPROXIMATION;12347;104;1;1672694430373;0.01559
APPROXIMATION;12346;104;1;1672694430373;0.01496
APPROXIMATION;12348;104;1;1672694430373;0.0083
APPROXIMATION;12349;104;1;1672694430373;0.01422
APPROXIMATION;12351;104;1;1672694430373;0.01697
APPROXIMATION;12350;104;1;1672694430373;0.029931
APPROXIMATION;12352;104;1;1672694430373;0.00909
APPROXIMATION;12346;104;2;1672694430373;0.01464
APPROXIMATION;12347;104;2;1672694430374;0.01333
APPROXIMATION;12348;104;2;1672694430374;0.01632
APPROXIMATION;12349;104;2;1672694430374;0.0123
APPROXIMATION;12350;104;2;1672694430374;0.00898
APPROXIMATION;12352;104;2;1672694430374;0.01325
APPROXIMATION;12351;104;2;1672694430374;0.013551
HALTED;12346;104;3;1672694430375;0.0167
HALTED;12347;104;3;1672694430375;0.01186
HALTED;12348;104;3;1672694430375;0.00874
HALTED;12349;104;3;1672694430375;0.01598
HALTED;12352;104;3;1672694430375;0.010841
HALTED;12351;104;3;1672694430420;0.01578
HALTED;12350;104;3;1672694430420;0.01676
INITIALIZATION;12347;105;0;1672694430476;0.01724
INITIALIZATION;12348;105;0;1672694430476;0.02616
INITIALIZATION;12346;105;0;1672694430476;0.03639
INITIALIZATION;12349;105;0;1672694430477;0.013
INITIALIZATION;12351;105;0;1672694430477;0.0088
INITIALIZATION;12350;105;0;1672694430477;0.00567
INITIALIZATION;12352;105;0;1672694430477;0.00475
APPROXIMATION;12346;105;1;1672694430478;0.01256
APPROXIMATION;12347;105;1;1672694430478;0.01587
APPROXIMATION;12348;105;1;1672694430478;0.01576
APPROXIMATION;12349;105;1;1672694430478;0.064291
APPROXIMATION;12350;105;1;1672694430478;0.130321
APPROXIMATION;12351;105;1;1672694430478;0.01626
APPROXIMATION;12352;105;1;1672694430478;0.013
APPROXIMATION;12347;105;2;1672694430479;0.017781
APPROXIMATION;12348;105;2;1672694430479;0.01565
APPROXIMATION;12349;105;2;1672694430479;0.01147
APPROXIMATION;12350;105;2;1672694430479;0.01387
APPROXIMATION;12351;105;2;1672694430479;0.01063
APPROXIMATION;12352;105;2;1672694430479;0.01463
HALTED;12347;105;3;1672694430480;0.013001
HALTED;12349;105;3;1672694430480;0.01295
HALTED;12351;105;3;1672694430480;0.01391
