type;receiverPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;-1;100;0;1672694429866;0.554585
APPROXIMATION;-1;100;1;1672694429868;0.813187
APPROXIMATION;-1;100;2;1672694429870;0.854928
HALTED;-1;100;3;1672694429910;0.664205
INITIALIZATION;-1;101;0;1672694430011;0.582315
APPROXIMATION;-1;101;1;1672694430013;0.580605
APPROXIMATION;-1;101;2;1672694430013;0.661475
HALTED;-1;101;3;1672694430060;0.664736
INITIALIZATION;-1;102;0;1672694430161;0.505685
APPROXIMATION;-1;102;1;1672694430162;0.598166
APPROXIMATION;-1;102;2;1672694430164;0.654996
HALTED;-1;102;3;1672694430165;0.663366
INITIALIZATION;-1;103;0;1672694430266;0.590936
APPROXIMATION;-1;103;1;1672694430267;0.722646
APPROXIMATION;-1;103;2;1672694430269;0.691987
HALTED;-1;103;3;1672694430270;0.677466
INITIALIZATION;-1;104;0;1672694430371;0.606166
APPROXIMATION;-1;104;1;1672694430372;0.704396
APPROXIMATION;-1;104;2;1672694430373;0.665166
HALTED;-1;104;3;1672694430374;0.641616
INITIALIZATION;-1;105;0;1672694430475;0.627386
APPROXIMATION;-1;105;1;1672694430477;0.803057
APPROXIMATION;-1;105;2;1672694430479;0.745837
HALTED;-1;105;3;1672694430519;0.714036
INITIALIZATION;-1;106;0;1672694430621;0.573985
APPROXIMATION;-1;106;1;1672694430622;0.784847
APPROXIMATION;-1;106;2;1672694430623;0.732086
HALTED;-1;106;3;1672694430624;0.514884
INITIALIZATION;-1;107;0;1672694430725;0.568695
APPROXIMATION;-1;107;1;1672694430727;0.612405
APPROXIMATION;-1;107;2;1672694430728;0.600426
HALTED;-1;107;3;1672694430729;0.780717
INITIALIZATION;-1;108;0;1672694430830;0.569905
APPROXIMATION;-1;108;1;1672694430832;0.653656
APPROXIMATION;-1;108;2;1672694430833;0.552765
HALTED;-1;108;3;1672694430833;0.584125
INITIALIZATION;-1;109;0;1672694430934;0.649296
APPROXIMATION;-1;109;1;1672694430936;0.628816
APPROXIMATION;-1;109;2;1672694430937;0.599185
HALTED;-1;109;3;1672694430938;0.583135
INITIALIZATION;-1;110;0;1672694431039;0.587565
APPROXIMATION;-1;110;1;1672694431040;0.715057
APPROXIMATION;-1;110;2;1672694431041;0.548125
HALTED;-1;110;3;1672694431089;0.790367
INITIALIZATION;-1;111;0;1672694431191;0.556905
APPROXIMATION;-1;111;1;1672694431192;0.684526
APPROXIMATION;-1;111;2;1672694431194;0.725487
HALTED;-1;111;3;1672694431195;0.718346
INITIALIZATION;-1;112;0;1672694431296;0.591625
APPROXIMATION;-1;112;1;1672694431297;0.649326
APPROXIMATION;-1;112;2;1672694431298;0.596676
HALTED;-1;112;3;1672694431340;0.571015
INITIALIZATION;-1;113;0;1672694431441;0.510904
APPROXIMATION;-1;113;1;1672694431442;0.686226
APPROXIMATION;-1;113;2;1672694431443;0.721867
HALTED;-1;113;3;1672694431444;0.652485
INITIALIZATION;-1;114;0;1672694431545;0.705776
APPROXIMATION;-1;114;1;1672694431547;0.679926
APPROXIMATION;-1;114;2;1672694431547;0.578305
HALTED;-1;114;3;1672694431548;0.654656
INITIALIZATION;-1;115;0;1672694431650;0.837587
APPROXIMATION;-1;115;1;1672694431653;0.567285
APPROXIMATION;-1;115;2;1672694431654;0.629855
HALTED;-1;115;3;1672694431700;0.625675
INITIALIZATION;-1;116;0;1672694431801;0.547165
APPROXIMATION;-1;116;1;1672694431803;0.580035
APPROXIMATION;-1;116;2;1672694431804;0.615455
HALTED;-1;116;3;1672694431805;0.710106
INITIALIZATION;-1;117;0;1672694431906;0.543595
APPROXIMATION;-1;117;1;1672694431908;0.641306
APPROXIMATION;-1;117;2;1672694431910;0.567755
HALTED;-1;117;3;1672694431949;0.561505
INITIALIZATION;-1;118;0;1672694432051;0.528934
APPROXIMATION;-1;118;1;1672694432052;0.604336
APPROXIMATION;-1;118;2;1672694432053;0.581555
HALTED;-1;118;3;1672694432054;0.536965
INITIALIZATION;-1;119;0;1672694432155;0.642296
APPROXIMATION;-1;119;1;1672694432157;0.647936
APPROXIMATION;-1;119;2;1672694432158;0.625855
HALTED;-1;119;3;1672694432159;0.581745
INITIALIZATION;-1;120;0;1672694432260;0.567535
APPROXIMATION;-1;120;1;1672694432262;0.649136
