type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694429866;0.0
INITIALIZATION;12347;100;0;1672694429868;0.0
INITIALIZATION;12346;100;0;1672694429868;0.0
INITIALIZATION;12351;100;0;1672694429868;0.0
INITIALIZATION;12352;100;0;1672694429869;0.0
INITIALIZATION;12349;100;0;1672694429869;0.0
INITIALIZATION;12350;100;0;1672694429869;0.0
APPROXIMATION;12345;100;1;1672694429869;0.0
APPROXIMATION;12346;100;1;1672694429869;0.0
APPROXIMATION;12347;100;1;1672694429869;0.0
APPROXIMATION;12351;100;1;1672694429869;0.0
APPROXIMATION;12350;100;1;1672694429869;0.0
APPROXIMATION;12349;100;1;1672694429870;0.0
APPROXIMATION;12345;100;2;1672694429870;0.0
APPROXIMATION;12352;100;1;1672694429870;0.0
APPROXIMATION;12346;100;2;1672694429870;0.0
APPROXIMATION;12349;100;2;1672694429871;0.0
APPROXIMATION;12347;100;2;1672694429871;0.0
APPROXIMATION;12350;100;2;1672694429872;0.0
APPROXIMATION;12352;100;2;1672694429872;0.0
APPROXIMATION;12351;100;2;1672694429873;0.0
HALTED;12349;100;3;1672694429873;0.0
HALTED;12352;100;3;1672694429873;0.0
HALTED;12350;100;3;1672694429873;0.0
HALTED;12346;100;3;1672694429910;0.0
HALTED;12345;100;3;1672694429910;0.0
HALTED;12347;100;3;1672694429920;0.0
HALTED;12351;100;3;1672694429920;0.0
INITIALIZATION;12345;101;0;1672694430011;0.0
INITIALIZATION;12347;101;0;1672694430012;0.0
INITIALIZATION;12350;101;0;1672694430012;0.0
INITIALIZATION;12349;101;0;1672694430012;0.0
INITIALIZATION;12346;101;0;1672694430012;0.0
INITIALIZATION;12351;101;0;1672694430012;0.0
INITIALIZATION;12352;101;0;1672694430013;0.0
APPROXIMATION;12345;101;1;1672694430013;0.0
APPROXIMATION;12346;101;1;1672694430013;0.0
APPROXIMATION;12347;101;1;1672694430013;0.0
APPROXIMATION;12349;101;1;1672694430013;0.0
APPROXIMATION;12351;101;1;1672694430013;0.0
APPROXIMATION;12350;101;1;1672694430013;0.0
APPROXIMATION;12352;101;1;1672694430013;0.0
APPROXIMATION;12346;101;2;1672694430014;0.0
APPROXIMATION;12347;101;2;1672694430014;0.0
APPROXIMATION;12350;101;2;1672694430014;0.0
APPROXIMATION;12352;101;2;1672694430014;0.0
APPROXIMATION;12351;101;2;1672694430014;0.0
APPROXIMATION;12349;101;2;1672694430014;0.0
HALTED;12347;101;3;1672694430014;0.0
HALTED;12351;101;3;1672694430015;0.0
APPROXIMATION;12345;101;2;1672694430059;0.0
HALTED;12346;101;3;1672694430059;0.0
HALTED;12350;101;3;1672694430059;0.0
HALTED;12352;101;3;1672694430059;0.0
HALTED;12349;101;3;1672694430060;0.0
HALTED;12345;101;3;1672694430060;0.0
INITIALIZATION;12345;102;0;1672694430161;0.0
INITIALIZATION;12346;102;0;1672694430162;0.0
INITIALIZATION;12347;102;0;1672694430162;0.0
INITIALIZATION;12349;102;0;1672694430162;0.0
INITIALIZATION;12350;102;0;1672694430162;0.0
INITIALIZATION;12351;102;0;1672694430162;0.0
APPROXIMATION;12345;102;1;1672694430163;0.0
APPROXIMATION;12346;102;1;1672694430163;0.0
INITIALIZATION;12352;102;0;1672694430163;0.0
APPROXIMATION;12347;102;1;1672694430163;0.0
APPROXIMATION;12349;102;1;1672694430163;0.0
APPROXIMATION;12350;102;1;1672694430164;0.0
APPROXIMATION;12352;102;1;1672694430164;0.0
APPROXIMATION;12351;102;1;1672694430164;0.0
APPROXIMATION;12345;102;2;1672694430164;0.0
APPROXIMATION;12346;102;2;1672694430164;0.0
APPROXIMATION;12347;102;2;1672694430164;0.0
APPROXIMATION;12349;102;2;1672694430164;0.0
APPROXIMATION;12352;102;2;1672694430164;0.0
APPROXIMATION;12351;102;2;1672694430165;0.0
APPROXIMATION;12350;102;2;1672694430165;0.0
HALTED;12346;102;3;1672694430165;0.0
HALTED;12347;102;3;1672694430165;0.0
HALTED;12345;102;3;1672694430165;0.0
HALTED;12349;102;3;1672694430165;0.0
HALTED;12350;102;3;1672694430165;0.0
HALTED;12351;102;3;1672694430166;0.0
HALTED;12352;102;3;1672694430166;0.0
INITIALIZATION;12345;103;0;1672694430266;0.0
INITIALIZATION;12347;103;0;1672694430267;0.0
INITIALIZATION;12349;103;0;1672694430267;0.0
INITIALIZATION;12346;103;0;1672694430267;0.0
INITIALIZATION;12350;103;0;1672694430267;0.0
INITIALIZATION;12352;103;0;1672694430267;0.0
APPROXIMATION;12345;103;1;1672694430268;0.0
INITIALIZATION;12351;103;0;1672694430268;0.0
APPROXIMATION;12346;103;1;1672694430268;0.0
