type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694429867;0.489565
INITIALIZATION;12347;100;0;1672694429868;0.01291
INITIALIZATION;12346;100;0;1672694429868;0.00632
INITIALIZATION;12348;100;0;1672694429869;0.00868
INITIALIZATION;12350;100;0;1672694429869;0.01941
INITIALIZATION;12352;100;0;1672694429869;0.01323
INITIALIZATION;12349;100;0;1672694429869;0.01528
APPROXIMATION;12345;100;1;1672694429869;0.03244
APPROXIMATION;12346;100;1;1672694429869;0.0095
APPROXIMATION;12347;100;1;1672694429870;0.01028
APPROXIMATION;12348;100;1;1672694429870;0.00681
APPROXIMATION;12349;100;1;1672694429870;0.00655
APPROXIMATION;12350;100;1;1672694429871;0.01438
APPROXIMATION;12352;100;1;1672694429871;0.02465
APPROXIMATION;12350;100;2;1672694429872;0.01056
APPROXIMATION;12348;100;2;1672694429873;0.00793
APPROXIMATION;12349;100;2;1672694429873;0.00631
APPROXIMATION;12352;100;2;1672694429873;0.00814
HALTED;12350;100;3;1672694429873;0.01568
APPROXIMATION;12345;100;2;1672694429909;0.00774
APPROXIMATION;12346;100;2;1672694429909;0.007071
HALTED;12346;100;3;1672694429910;0.0195
HALTED;12345;100;3;1672694429910;0.01042
HALTED;12348;100;3;1672694429919;0.01128
HALTED;12349;100;3;1672694429919;0.01082
HALTED;12352;100;3;1672694429920;0.01206
APPROXIMATION;12347;100;2;1672694429920;0.01591
HALTED;12347;100;3;1672694429920;0.00625
INITIALIZATION;12345;101;0;1672694430011;0.514504
INITIALIZATION;12350;101;0;1672694430012;0.010631
INITIALIZATION;12347;101;0;1672694430012;0.00643
INITIALIZATION;12349;101;0;1672694430012;0.00743
INITIALIZATION;12348;101;0;1672694430012;0.00773
INITIALIZATION;12346;101;0;1672694430012;0.008061
INITIALIZATION;12352;101;0;1672694430013;0.01228
APPROXIMATION;12345;101;1;1672694430013;0.00774
APPROXIMATION;12346;101;1;1672694430013;0.0071
APPROXIMATION;12347;101;1;1672694430013;0.00883
APPROXIMATION;12348;101;1;1672694430013;0.00704
APPROXIMATION;12349;101;1;1672694430013;0.00751
APPROXIMATION;12350;101;1;1672694430013;0.00702
APPROXIMATION;12352;101;1;1672694430014;0.01994
APPROXIMATION;12345;101;2;1672694430014;0.00605
APPROXIMATION;12346;101;2;1672694430014;0.00638
APPROXIMATION;12348;101;2;1672694430014;0.00647
APPROXIMATION;12349;101;2;1672694430014;0.00891
APPROXIMATION;12347;101;2;1672694430014;0.006161
APPROXIMATION;12352;101;2;1672694430014;0.00597
APPROXIMATION;12350;101;2;1672694430014;0.01448
HALTED;12346;101;3;1672694430015;0.00788
HALTED;12347;101;3;1672694430015;0.00503
HALTED;12350;101;3;1672694430015;0.00495
HALTED;12352;101;3;1672694430015;0.00325
HALTED;12348;101;3;1672694430060;0.00172
HALTED;12349;101;3;1672694430060;0.00318
HALTED;12345;101;3;1672694430060;0.0028
INITIALIZATION;12345;102;0;1672694430161;0.559155
INITIALIZATION;12346;102;0;1672694430162;0.00532
INITIALIZATION;12347;102;0;1672694430162;0.010581
INITIALIZATION;12349;102;0;1672694430162;0.00554
INITIALIZATION;12348;102;0;1672694430162;0.00471
INITIALIZATION;12350;102;0;1672694430162;0.00612
APPROXIMATION;12345;102;1;1672694430163;0.01227
APPROXIMATION;12346;102;1;1672694430163;0.00799
INITIALIZATION;12352;102;0;1672694430163;0.02196
APPROXIMATION;12348;102;1;1672694430163;0.0053
APPROXIMATION;12347;102;1;1672694430163;0.00475
APPROXIMATION;12349;102;1;1672694430164;0.00768
APPROXIMATION;12350;102;1;1672694430164;0.00839
APPROXIMATION;12352;102;1;1672694430164;0.009971
APPROXIMATION;12345;102;2;1672694430164;0.00924
APPROXIMATION;12346;102;2;1672694430164;0.00289
APPROXIMATION;12349;102;2;1672694430165;0.00661
APPROXIMATION;12348;102;2;1672694430165;0.00546
APPROXIMATION;12352;102;2;1672694430165;0.01174
APPROXIMATION;12347;102;2;1672694430165;0.00733
APPROXIMATION;12350;102;2;1672694430165;0.00903
HALTED;12346;102;3;1672694430165;0.01546
HALTED;12347;102;3;1672694430165;0.01061
HALTED;12348;102;3;1672694430165;0.00667
HALTED;12345;102;3;1672694430165;0.00283
HALTED;12349;102;3;1672694430166;0.00429
HALTED;12350;102;3;1672694430166;0.00618
HALTED;12352;102;3;1672694430166;0.0024
INITIALIZATION;12345;103;0;1672694430266;0.752537
INITIALIZATION;12349;103;0;1672694430267;0.0062
INITIALIZATION;12347;103;0;1672694430267;0.01133
INITIALIZATION;12350;103;0;1672694430268;0.0114
INITIALIZATION;12346;103;0;1672694430268;0.00979
INITIALIZATION;12348;103;0;1672694430268;0.00643
INITIALIZATION;12352;103;0;1672694430268;0.012
APPROXIMATION;12345;103;1;1672694430268;0.01324
APPROXIMATION;12348;103;1;1672694430268;0.00946
APPROXIMATION;12346;103;1;1672694430268;0.00334
APPROXIMATION;12347;103;1;1672694430268;0.0041
APPROXIMATION;12349;103;1;1672694430269;0.00642
APPROXIMATION;12350;103;1;1672694430269;0.00578
APPROXIMATION;12352;103;1;1672694430269;0.017021
APPROXIMATION;12345;103;2;1672694430269;0.00685
APPROXIMATION;12348;103;2;1672694430269;0.00547
APPROXIMATION;12347;103;2;1672694430269;0.00262
