type;senderPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;12345;100;0;1672694429766;101.35186
INITIALIZATION;12347;100;0;1672694429867;0.722517
INITIALIZATION;12346;100;0;1672694429868;0.143541
INITIALIZATION;12351;100;0;1672694429868;0.364413
INITIALIZATION;12348;100;0;1672694429869;0.111661
INITIALIZATION;12349;100;0;1672694429869;0.177221
INITIALIZATION;12350;100;0;1672694429869;0.06076
APPROXIMATION;12345;100;1;1672694429869;0.185192
APPROXIMATION;12346;100;1;1672694429869;0.550635
APPROXIMATION;12347;100;1;1672694429870;0.370943
APPROXIMATION;12351;100;1;1672694429870;0.571605
APPROXIMATION;12345;100;2;1672694429871;0.235472
APPROXIMATION;12346;100;2;1672694429871;0.03767
APPROXIMATION;12349;100;1;1672694429871;0.01195
APPROXIMATION;12348;100;1;1672694429871;0.00825
APPROXIMATION;12350;100;1;1672694429871;0.00324
APPROXIMATION;12350;100;2;1672694429871;0.741517
APPROXIMATION;12347;100;2;1672694429872;0.439674
APPROXIMATION;12349;100;2;1672694429872;0.03615
APPROXIMATION;12348;100;2;1672694429872;0.0104
APPROXIMATION;12351;100;2;1672694429873;0.296552
HALTED;12348;100;3;1672694429873;0.293773
HALTED;12349;100;3;1672694429873;0.129161
HALTED;12350;100;3;1672694429873;0.153062
HALTED;12346;100;3;1672694429873;36.595471
HALTED;12345;100;3;1672694429910;0.135971
HALTED;12351;100;3;1672694429910;9.913228
HALTED;12347;100;3;1672694429920;0.04176
INITIALIZATION;12345;101;0;1672694429920;91.026649
INITIALIZATION;12347;101;0;1672694430011;0.910018
INITIALIZATION;12350;101;0;1672694430012;0.03512
INITIALIZATION;12349;101;0;1672694430012;0.03767
INITIALIZATION;12348;101;0;1672694430012;0.05662
INITIALIZATION;12351;101;0;1672694430012;0.080891
INITIALIZATION;12346;101;0;1672694430012;0.00827
APPROXIMATION;12345;101;1;1672694430012;0.683456
APPROXIMATION;12346;101;1;1672694430013;0.021761
APPROXIMATION;12348;101;1;1672694430013;0.145801
APPROXIMATION;12347;101;1;1672694430013;0.01358
APPROXIMATION;12349;101;1;1672694430013;0.04842
APPROXIMATION;12350;101;1;1672694430013;0.02587
APPROXIMATION;12351;101;1;1672694430014;0.01472
APPROXIMATION;12346;101;2;1672694430014;0.267532
APPROXIMATION;12345;101;2;1672694430014;0.029691
APPROXIMATION;12348;101;2;1672694430014;0.00835
APPROXIMATION;12350;101;2;1672694430014;0.174791
APPROXIMATION;12351;101;2;1672694430014;0.118051
APPROXIMATION;12347;101;2;1672694430014;0.0565
APPROXIMATION;12349;101;2;1672694430014;0.00533
HALTED;12350;101;3;1672694430014;0.361113
HALTED;12346;101;3;1672694430015;0.132461
HALTED;12351;101;3;1672694430015;0.01558
HALTED;12347;101;3;1672694430015;0.0073
HALTED;12349;101;3;1672694430015;45.075816
HALTED;12348;101;3;1672694430060;0.0208
HALTED;12345;101;3;1672694430060;0.258133
INITIALIZATION;12345;102;0;1672694430060;100.971786
INITIALIZATION;12346;102;0;1672694430161;0.776517
INITIALIZATION;12347;102;0;1672694430162;0.01819
INITIALIZATION;12349;102;0;1672694430162;0.069811
INITIALIZATION;12348;102;0;1672694430162;0.178111
INITIALIZATION;12350;102;0;1672694430163;0.079081
INITIALIZATION;12351;102;0;1672694430163;0.01748
APPROXIMATION;12345;102;1;1672694430163;0.563915
APPROXIMATION;12346;102;1;1672694430163;0.103201
APPROXIMATION;12347;102;1;1672694430163;0.163451
APPROXIMATION;12348;102;1;1672694430164;0.01961
APPROXIMATION;12349;102;1;1672694430164;0.162381
APPROXIMATION;12350;102;1;1672694430164;0.184912
APPROXIMATION;12351;102;1;1672694430164;0.178341
APPROXIMATION;12345;102;2;1672694430164;0.246912
APPROXIMATION;12346;102;2;1672694430164;0.01494
APPROXIMATION;12347;102;2;1672694430164;0.02363
APPROXIMATION;12348;102;2;1672694430164;0.150921
APPROXIMATION;12349;102;2;1672694430165;0.02026
APPROXIMATION;12350;102;2;1672694430165;0.257623
HALTED;12346;102;3;1672694430165;0.199211
HALTED;12347;102;3;1672694430165;0.00801
APPROXIMATION;12351;102;2;1672694430165;0.111041
HALTED;12345;102;3;1672694430165;0.01773
HALTED;12348;102;3;1672694430165;0.01183
HALTED;12349;102;3;1672694430165;0.256513
HALTED;12350;102;3;1672694430166;0.148271
HALTED;12351;102;3;1672694430166;0.104331
INITIALIZATION;12345;103;0;1672694430166;100.400162
INITIALIZATION;12347;103;0;1672694430266;0.892488
INITIALIZATION;12349;103;0;1672694430267;0.03343
INITIALIZATION;12350;103;0;1672694430267;0.324173
INITIALIZATION;12346;103;0;1672694430268;0.123211
INITIALIZATION;12348;103;0;1672694430268;0.00668
APPROXIMATION;12345;103;1;1672694430268;0.286112
INITIALIZATION;12351;103;0;1672694430268;0.136512
APPROXIMATION;12347;103;1;1672694430268;0.191881
APPROXIMATION;12346;103;1;1672694430268;0.09836
APPROXIMATION;12349;103;1;1672694430269;0.119101
APPROXIMATION;12348;103;1;1672694430269;0.093711
APPROXIMATION;12351;103;1;1672694430269;0.02111
APPROXIMATION;12350;103;1;1672694430269;0.126351
APPROXIMATION;12345;103;2;1672694430269;0.304553
APPROXIMATION;12346;103;2;1672694430269;0.00651
APPROXIMATION;12347;103;2;1672694430269;0.168722
APPROXIMATION;12348;103;2;1672694430269;0.06431
APPROXIMATION;12350;103;2;1672694430270;0.11236
APPROXIMATION;12349;103;2;1672694430270;0.00783
APPROXIMATION;12351;103;2;1672694430270;0.07448
HALTED;12347;103;3;1672694430270;0.358373
HALTED;12346;103;3;1672694430270;0.01675
HALTED;12348;103;3;1672694430270;0.00763
HALTED;12345;103;3;1672694430270;0.036921
HALTED;12350;103;3;1672694430270;0.05064
HALTED;12351;103;3;1672694430270;39.616378
HALTED;12349;103;3;1672694430310;0.00845
INITIALIZATION;12345;104;0;1672694430310;61.336179
INITIALIZATION;12348;104;0;1672694430371;0.902708
INITIALIZATION;12347;104;0;1672694430372;0.01728
INITIALIZATION;12346;104;0;1672694430372;0.070831
INITIALIZATION;12349;104;0;1672694430372;0.080141
INITIALIZATION;12351;104;0;1672694430372;0.128641
INITIALIZATION;12350;104;0;1672694430373;0.205642
APPROXIMATION;12345;104;1;1672694430373;0.392054
APPROXIMATION;12346;104;1;1672694430373;0.299842
APPROXIMATION;12350;104;1;1672694430374;0.016911
APPROXIMATION;12349;104;1;1672694430374;0.00722
APPROXIMATION;12348;104;1;1672694430374;0.00661
APPROXIMATION;12347;104;1;1672694430374;0.01979
APPROXIMATION;12351;104;1;1672694430374;0.333762
APPROXIMATION;12347;104;2;1672694430374;0.02957
APPROXIMATION;12345;104;2;1672694430374;0.136391
APPROXIMATION;12348;104;2;1672694430374;0.01753
APPROXIMATION;12346;104;2;1672694430374;0.01392
APPROXIMATION;12349;104;2;1672694430374;0.234662
APPROXIMATION;12350;104;2;1672694430375;0.02108
APPROXIMATION;12351;104;2;1672694430375;0.194382
HALTED;12345;104;3;1672694430375;0.216992
HALTED;12346;104;3;1672694430375;0.00834
HALTED;12347;104;3;1672694430375;0.039591
HALTED;12348;104;3;1672694430375;0.04669
HALTED;12349;104;3;1672694430375;0.062621
HALTED;12351;104;3;1672694430375;44.849744
HALTED;12350;104;3;1672694430420;1.062439
INITIALIZATION;12345;105;0;1672694430421;54.961213
INITIALIZATION;12348;105;0;1672694430476;0.678616
INITIALIZATION;12347;105;0;1672694430477;0.00848
INITIALIZATION;12349;105;0;1672694430477;0.061241
INITIALIZATION;12346;105;0;1672694430477;0.02356
INITIALIZATION;12351;105;0;1672694430477;0.601136
INITIALIZATION;12350;105;0;1672694430478;0.06888
APPROXIMATION;12347;105;1;1672694430478;0.503025
APPROXIMATION;12346;105;1;1672694430478;0.072061
APPROXIMATION;12350;105;1;1672694430478;0.289512
APPROXIMATION;12348;105;1;1672694430479;0.03015
APPROXIMATION;12349;105;1;1672694430479;0.010161
APPROXIMATION;12351;105;1;1672694430479;0.06095
APPROXIMATION;12345;105;1;1672694430479;0.064911
APPROXIMATION;12346;105;2;1672694430479;0.375063
APPROXIMATION;12348;105;2;1672694430479;0.234502
APPROXIMATION;12347;105;2;1672694430480;0.00874
APPROXIMATION;12345;105;2;1672694430480;0.02229
APPROXIMATION;12350;105;2;1672694430480;0.026461
APPROXIMATION;12349;105;2;1672694430480;0.02088
APPROXIMATION;12351;105;2;1672694430480;0.00812
HALTED;12347;105;3;1672694430480;0.371353
HALTED;12349;105;3;1672694430480;0.117611
HALTED;12351;105;3;1672694430480;0.160771
HALTED;12348;105;3;1672694430480;39.589338
HALTED;12350;105;3;1672694430520;0.082351
HALTED;12346;105;3;1672694430520;0.02051
HALTED;12345;105;3;1672694430520;0.073231
INITIALIZATION;12345;106;0;1672694430520;100.952436
INITIALIZATION;12347;106;0;1672694430621;0.880337
INITIALIZATION;12349;106;0;1672694430622;0.09342
INITIALIZATION;12348;106;0;1672694430622;0.02107
INITIALIZATION;12350;106;0;1672694430622;0.212392
INITIALIZATION;12346;106;0;1672694430622;0.087751
INITIALIZATION;12351;106;0;1672694430623;0.173971
APPROXIMATION;12345;106;1;1672694430623;0.443914
APPROXIMATION;12347;106;1;1672694430623;0.153591
APPROXIMATION;12348;106;1;1672694430623;0.034311
APPROXIMATION;12346;106;1;1672694430623;0.01643
APPROXIMATION;12349;106;1;1672694430624;0.065311
APPROXIMATION;12350;106;1;1672694430624;0.04723
APPROXIMATION;12351;106;1;1672694430624;0.01001
APPROXIMATION;12345;106;2;1672694430624;0.414333
APPROXIMATION;12347;106;2;1672694430624;0.074691
APPROXIMATION;12346;106;2;1672694430624;0.02152
APPROXIMATION;12349;106;2;1672694430624;0.015851
APPROXIMATION;12351;106;2;1672694430624;0.267682
HALTED;12349;106;3;1672694430625;0.475244
HALTED;12351;106;3;1672694430625;0.119371
APPROXIMATION;12348;106;2;1672694430625;44.118857
HALTED;12345;106;3;1672694430669;0.00926
APPROXIMATION;12350;106;2;1672694430669;0.026991
HALTED;12347;106;3;1672694430669;0.568295
HALTED;12346;106;3;1672694430670;0.084801
HALTED;12348;106;3;1672694430670;0.079081
HALTED;12350;106;3;1672694430670;0.03924
INITIALIZATION;12345;107;0;1672694430670;55.600318
INITIALIZATION;12347;107;0;1672694430726;0.893747
INITIALIZATION;12346;107;0;1672694430727;0.04829
INITIALIZATION;12349;107;0;1672694430727;0.00955
INITIALIZATION;12348;107;0;1672694430727;0.019811
INITIALIZATION;12351;107;0;1672694430727;0.162451
INITIALIZATION;12350;107;0;1672694430727;0.097401
APPROXIMATION;12345;107;1;1672694430727;0.308553
APPROXIMATION;12346;107;1;1672694430728;0.058351
APPROXIMATION;12347;107;1;1672694430728;0.02312
APPROXIMATION;12348;107;1;1672694430728;0.102971
APPROXIMATION;12350;107;1;1672694430728;0.120781
APPROXIMATION;12349;107;1;1672694430728;0.009321
APPROXIMATION;12351;107;1;1672694430728;0.136231
APPROXIMATION;12345;107;2;1672694430728;0.291153
APPROXIMATION;12346;107;2;1672694430728;0.06925
APPROXIMATION;12348;107;2;1672694430728;0.01159
APPROXIMATION;12347;107;2;1672694430729;0.00926
APPROXIMATION;12351;107;2;1672694430729;0.199952
APPROXIMATION;12350;107;2;1672694430729;0.104211
APPROXIMATION;12349;107;2;1672694430729;0.062501
HALTED;12351;107;3;1672694430729;0.586715
HALTED;12347;107;3;1672694430730;0.04076
HALTED;12350;107;3;1672694430730;0.04063
HALTED;12345;107;3;1672694430730;0.224632
HALTED;12349;107;3;1672694430730;0.045091
HALTED;12348;107;3;1672694430730;0.00796
HALTED;12346;107;3;1672694430730;0.00752
INITIALIZATION;12345;108;0;1672694430730;100.723755
INITIALIZATION;12346;108;0;1672694430831;0.722686
INITIALIZATION;12347;108;0;1672694430832;0.095481
INITIALIZATION;12348;108;0;1672694430832;0.01251
INITIALIZATION;12350;108;0;1672694430832;0.229012
INITIALIZATION;12349;108;0;1672694430832;0.129411
INITIALIZATION;12351;108;0;1672694430832;0.119311
APPROXIMATION;12346;108;1;1672694430832;0.140711
APPROXIMATION;12345;108;1;1672694430832;0.06262
APPROXIMATION;12348;108;1;1672694430832;0.102011
APPROXIMATION;12347;108;1;1672694430833;0.00842
APPROXIMATION;12350;108;1;1672694430833;0.143322
APPROXIMATION;12349;108;1;1672694430833;0.01773
APPROXIMATION;12351;108;1;1672694430833;0.146191
APPROXIMATION;12345;108;2;1672694430833;0.167171
APPROXIMATION;12346;108;2;1672694430833;0.01031
APPROXIMATION;12347;108;2;1672694430833;0.049511
APPROXIMATION;12348;108;2;1672694430833;0.058491
APPROXIMATION;12350;108;2;1672694430833;0.229242
APPROXIMATION;12349;108;2;1672694430834;0.01201
APPROXIMATION;12351;108;2;1672694430834;0.02201
HALTED;12345;108;3;1672694430834;0.153752
HALTED;12348;108;3;1672694430834;0.134501
HALTED;12350;108;3;1672694430834;0.095441
HALTED;12347;108;3;1672694430834;0.031441
HALTED;12349;108;3;1672694430834;0.01448
HALTED;12346;108;3;1672694430834;0.069521
HALTED;12351;108;3;1672694430834;0.01413
INITIALIZATION;12345;109;0;1672694430834;100.583273
INITIALIZATION;12346;109;0;1672694430935;0.505575
INITIALIZATION;12349;109;0;1672694430935;0.482944
INITIALIZATION;12350;109;0;1672694430936;0.036331
INITIALIZATION;12348;109;0;1672694430936;0.0263
INITIALIZATION;12347;109;0;1672694430936;0.01578
INITIALIZATION;12351;109;0;1672694430936;0.229333
APPROXIMATION;12345;109;1;1672694430936;0.118701
APPROXIMATION;12346;109;1;1672694430936;0.00958
