Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV
0;4385286.906458;10;10;0;36;50;0.0;0.0
1;4385425.390625;9;9;0;32;47;0.0;0.0
2;4385640.717583;9;9;0;32;47;0.0;0.0
3;4385776.803916;9;9;0;32;47;0.0;0.0
4;4385917.668833;9;9;0;32;47;0.0;0.0
5;4386055.000416;9;9;0;32;47;0.0;0.0
6;4386228.476708;9;9;0;32;47;0.0;0.0
7;4386416.7305;9;9;0;32;47;0.0;0.0
8;4386592.181833;9;9;0;32;47;0.0;0.0
9;4386758.596958;9;9;0;32;47;0.0;0.0
10;4386918.742666;9;9;0;32;47;0.0;0.0
11;4387070.872083;9;9;0;32;47;0.0;0.0
12;4387220.664833;9;9;0;32;47;0.0;0.0
13;4387387.358541;9;9;0;32;47;0.0;0.0
14;4387530.031541;9;9;0;32;47;0.0;0.0
15;4387670.80825;9;9;0;32;46;0.0;0.0
16;4387820.999625;9;9;0;32;47;0.0;0.0
17;4388019.833666;10;10;0;36;49;0.0;0.0
18;4388161.061208;9;9;0;32;46;0.0;0.0
19;4388300.332125;9;9;0;32;47;0.0;0.0
20;4388445.806166;9;9;0;32;46;0.0;0.0
21;4388587.591833;9;9;0;32;47;0.0;0.0
22;4388752.148958;10;10;0;36;47;0.0;0.0
23;4388924.07625;9;9;0;32;47;0.0;0.0
24;4389049.148208;9;9;0;32;47;0.0;0.0
25;4389174.598958;9;9;0;32;47;0.0;0.0
26;4389322.023583;9;9;0;32;47;0.0;0.0
27;4389485.660458;9;9;0;32;47;0.0;0.0
28;4389647.2725;9;9;0;32;47;0.0;0.0
29;4389792.538333;9;9;0;32;47;0.0;0.0
30;4389917.57325;9;9;0;32;47;0.0;0.0
31;4390047.555875;10;10;0;36;50;0.0;0.0
32;4390183.426375;9;9;0;32;47;0.0;0.0
33;4390330.491666;9;9;0;32;47;0.0;0.0
34;4390474.831166;9;9;0;32;46;0.0;0.0
35;4390621.622458;9;9;0;32;47;0.0;0.0
36;4390773.547541;10;10;0;36;50;0.0;0.0
37;4390922.581041;9;9;0;32;47;0.0;0.0
38;4391051.832291;9;9;0;32;47;0.0;0.0
39;4391181.697458;9;9;0;32;47;0.0;0.0
40;4391322.043083;9;9;0;32;47;0.0;0.0
41;4391465.309083;9;9;0;32;47;0.0;0.0
42;4391617.023833;9;9;0;32;47;0.0;0.0
43;4391764.822833;9;9;0;32;47;0.0;0.0
44;4391898.208541;9;9;0;32;47;0.0;0.0
45;4392041.526375;9;9;0;32;47;0.0;0.0
46;4392177.83025;9;9;0;32;47;0.0;0.0
47;4392305.503125;9;9;0;32;47;0.0;0.0
48;4392430.894583;9;9;0;32;47;0.0;0.0
49;4392561.761166;9;9;0;32;47;0.0;0.0
50;4392696.433875;9;9;0;32;47;0.0;0.0
51;4392843.246791;9;9;0;32;47;0.0;0.0
52;4392988.056166;9;9;0;32;47;0.0;0.0
53;4393137.024833;9;9;0;32;47;0.0;0.0
54;4393293.278708;9;9;0;32;47;0.0;0.0
55;4393420.356708;9;9;0;32;47;0.0;0.0
56;4393551.001958;9;9;0;32;47;0.0;0.0
57;4393673.766291;9;9;0;32;47;0.0;0.0
58;4393794.616833;9;9;0;32;47;0.0;0.0
59;4393916.620708;9;9;0;32;47;0.0;0.0
60;4394039.633666;9;9;0;32;46;0.0;0.0
61;4394161.5165;9;9;0;32;47;0.0;0.0
62;4394287.881458;10;10;0;36;50;0.0;0.0
63;4394417.376166;9;9;0;32;47;0.0;0.0
64;4394540.868833;9;9;0;32;47;0.0;0.0
65;4394667.227166;9;9;0;32;47;0.0;0.0
66;4394788.36125;9;9;0;32;47;0.0;0.0
67;4394910.499958;10;10;0;36;50;0.0;0.0
68;4395032.050416;9;9;0;32;47;0.0;0.0
