Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV
0;100.373458;10;10;0;27;30;0.0;0.0
1;23.704583;10;10;0;27;30;0.0;0.0
2;23.837167;10;10;0;27;30;0.0;0.0
3;19.3;10;10;0;27;30;0.0;0.0
4;22.796375;10;10;0;27;30;0.0;0.0
5;14.705167;10;10;0;27;30;0.0;0.0
6;20.374459;10;10;0;27;30;0.0;0.0
7;15.061792;10;10;0;27;30;0.0;0.0
8;27.161208;10;10;0;27;30;0.0;0.0
9;14.674584;10;10;0;27;30;0.0;0.0
10;12.239875;10;10;0;27;30;0.0;0.0
11;13.430208;10;10;0;27;30;0.0;0.0
12;22.055166;10;10;0;27;30;0.0;0.0
13;11.818708;10;10;0;27;30;0.0;0.0
14;10.704667;10;10;0;27;30;0.0;0.0
15;10.196125;10;10;0;27;30;0.0;0.0
16;12.836;10;10;0;27;30;0.0;0.0
17;11.681959;10;10;0;27;30;0.0;0.0
18;9.166041;10;10;0;27;30;0.0;0.0
19;8.566459;10;10;0;27;30;0.0;0.0
20;8.873958;10;10;0;27;30;0.0;0.0
21;15.2865;10;10;0;27;30;0.0;0.0
22;11.102;10;10;0;27;30;0.0;0.0
23;10.454542;10;10;0;27;30;0.0;0.0
24;10.537875;10;10;0;27;30;0.0;0.0
25;28.324584;10;10;0;27;30;0.0;0.0
26;14.513709;10;10;0;27;30;0.0;0.0
27;7.983792;10;10;0;27;30;0.0;0.0
28;10.555166;10;10;0;27;30;0.0;0.0
29;8.180875;10;10;0;27;30;0.0;0.0
30;9.769209;10;10;0;27;30;0.0;0.0
31;10.89;10;10;0;27;30;0.0;0.0
32;8.968292;10;10;0;27;30;0.0;0.0
33;9.361792;10;10;0;27;30;0.0;0.0
34;8.795042;10;10;0;27;30;0.0;0.0
35;16.116583;10;10;0;27;30;0.0;0.0
36;14.282709;10;10;0;27;30;0.0;0.0
37;10.241208;10;10;0;27;30;0.0;0.0
38;14.398417;10;10;0;27;30;0.0;0.0
39;8.369042;10;10;0;27;30;0.0;0.0
40;7.996584;10;10;0;27;30;0.0;0.0
41;7.640334;10;10;0;27;30;0.0;0.0
42;12.6845;10;10;0;27;30;0.0;0.0
43;11.989958;10;10;0;27;30;0.0;0.0
44;9.736208;10;10;0;27;30;0.0;0.0
45;11.574333;10;10;0;27;30;0.0;0.0
46;8.879375;10;10;0;27;30;0.0;0.0
47;8.8785;10;10;0;27;30;0.0;0.0
48;10.996041;10;10;0;27;30;0.0;0.0
49;7.848416;10;10;0;27;30;0.0;0.0
50;7.731;10;10;0;27;30;0.0;0.0
51;10.978917;10;10;0;27;30;0.0;0.0
52;8.397208;10;10;0;27;30;0.0;0.0
53;11.861292;10;10;0;27;30;0.0;0.0
54;8.116833;10;10;0;27;30;0.0;0.0
55;7.218625;10;10;0;27;30;0.0;0.0
56;12.909875;10;10;0;27;30;0.0;0.0
57;7.8045;10;10;0;27;30;0.0;0.0
58;6.877667;10;10;0;27;30;0.0;0.0
59;8.262708;10;10;0;27;30;0.0;0.0
60;7.445291;10;10;0;27;30;0.0;0.0
61;6.830042;10;10;0;27;30;0.0;0.0
62;7.395583;10;10;0;27;30;0.0;0.0
63;9.332625;10;10;0;27;30;0.0;0.0
64;7.761333;10;10;0;27;30;0.0;0.0
65;7.860583;10;10;0;27;30;0.0;0.0
66;8.227708;10;10;0;27;30;0.0;0.0
67;7.952875;10;10;0;27;30;0.0;0.0
68;8.113584;10;10;0;27;30;0.0;0.0
69;8.887541;10;10;0;27;30;0.0;0.0
70;7.163834;10;10;0;27;30;0.0;0.0
71;7.656334;10;10;0;27;30;0.0;0.0
72;11.861542;10;10;0;27;30;0.0;0.0
73;9.78475;10;10;0;27;30;0.0;0.0
74;8.008291;10;10;0;27;30;0.0;0.0
75;7.05725;10;10;0;27;30;0.0;0.0
76;8.159542;10;10;0;27;30;0.0;0.0
77;7.370667;10;10;0;27;30;0.0;0.0
78;7.427708;10;10;0;27;30;0.0;0.0
79;7.586416;10;10;0;27;30;0.0;0.0
80;6.957417;10;10;0;27;30;0.0;0.0
81;6.773375;10;10;0;27;30;0.0;0.0
82;7.557208;10;10;0;27;30;0.0;0.0
83;6.660417;10;10;0;27;30;0.0;0.0
84;7.666833;10;10;0;27;30;0.0;0.0
85;8.227542;10;10;0;27;30;0.0;0.0
86;6.81725;10;10;0;27;30;0.0;0.0
87;13.502291;10;10;0;27;30;0.0;0.0
88;15.21075;10;10;0;27;30;0.0;0.0
89;14.170792;10;10;0;27;30;0.0;0.0
90;23.935708;10;10;0;27;30;0.0;0.0
91;17.002834;10;10;0;27;30;0.0;0.0
92;6.203792;10;10;0;27;30;0.0;0.0
93;7.681416;10;10;0;27;30;0.0;0.0
94;8.297583;10;10;0;27;30;0.0;0.0
95;9.245417;10;10;0;27;30;0.0;0.0
96;5.88125;10;10;0;27;30;0.0;0.0
97;6.516667;10;10;0;27;30;0.0;0.0
98;6.255666;10;10;0;27;30;0.0;0.0
99;6.015375;10;10;0;27;30;0.0;0.0
100;16.056292;10;10;0;27;30;0.0;0.0
101;5.884458;10;10;0;27;30;0.0;0.0
102;6.4545;10;10;0;27;30;0.0;0.0
103;7.383625;10;10;0;27;30;0.0;0.0
104;6.312583;10;10;0;27;30;0.0;0.0
105;6.244958;10;10;0;27;30;0.0;0.0
106;13.122833;10;10;0;27;30;0.0;0.0
107;15.775791;10;10;0;27;30;0.0;0.0
108;6.938583;10;10;0;27;30;0.0;0.0
109;11.544958;10;10;0;27;30;0.0;0.0
110;9.065208;10;10;0;27;30;0.0;0.0
111;6.5345;10;10;0;27;30;0.0;0.0
112;6.582959;10;10;0;27;30;0.0;0.0
113;6.145083;10;10;0;27;30;0.0;0.0
114;6.328708;10;10;0;27;30;0.0;0.0
115;6.885209;10;10;0;27;30;0.0;0.0
116;6.065333;10;10;0;27;30;0.0;0.0
117;6.457084;10;10;0;27;30;0.0;0.0
